initial_lr,optimizer,criterion,train_data_used,train_set_shuffle,train_batch_size,norm_conv1x1,norm_conv1x1_3x3,norm_conv1x1_5x5,std_norm_conv1x1,std_norm_conv1x1_3x3,std_norm_conv1x1_5x5,avg_std,train accuracy epoch0,test accuracy epoch0,conv1x1FLOPS,conv1x1_3x3FLOPS,conv1x1_5x5FLOPS,totalFLOPS
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,0.19264012814631817,0.2724554771250079,0.5349043947286739,0.04288208361472183,0.15634069000963655,0.16951856288079067,0.12291377883504968,92.02644444444445,93.46533333333333,0.012544,0.909,2.515,13.274
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,0.17864931349526622,0.30286191211996244,0.5184887743847714,0.031016305042644552,0.15153902089079974,0.16234567200956027,0.11496699931433485,90.99944444444445,93.716,0.012544,0.909,2.515,13.274
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.20881273289173077,0.30260203424637333,0.48858523286189587,0.038093200175265664,0.13304131594705906,0.15209553917040178,0.10774335176424217,89.6268888888889,93.46733333333333,0.012544,0.909,2.515,13.274
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.1794819387146114,0.27567215541844636,0.5448459058669423,0.035383317907117164,0.14176063253317572,0.15874042957187082,0.11196146000405456,92.09766666666665,95.59133333333332,0.012544,0.909,2.515,13.274
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.1672294591115046,0.2960765689596165,0.5366939719288788,0.04265343528693796,0.1441510738974409,0.16267650260392935,0.11649367059610273,91.35811111111111,95.528,0.012544,0.909,2.515,13.274
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.19186995379684216,0.2951504399956824,0.5129796062074754,0.04452541516915745,0.14248913482846853,0.1643022807952625,0.11710561026429615,90.03166666666668,94.72933333333334,0.012544,0.909,2.515,13.274
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,0.3092454330238645,0.27147279414855363,0.4192817728275819,0.0794430580332222,0.17187314285976427,0.18927740777861954,0.14686453622386866,91.61844444444445,92.66333333333334,0.012544,0.909,2.515,13.274
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,0.2254798804908745,0.307523053138544,0.46699706637058164,0.0481500187115667,0.17543443079625043,0.19226458271016275,0.13861634407265996,90.94,93.55266666666667,0.012544,0.909,2.515,13.274
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.2470456750314698,0.3349858538082631,0.41796847116026714,0.057030796041686996,0.1621696407585719,0.17945894264453613,0.13288645981493166,89.60044444444445,93.30266666666667,0.012544,0.909,2.515,13.274
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.29889638071678754,0.26408038108841636,0.43702323819479616,0.06867072648150645,0.16516062890428235,0.18033040130839623,0.13805391889806168,91.69122222222222,95.09400000000001,0.012544,0.909,2.515,13.274
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.2257206103489706,0.3066573557282803,0.4676220339227491,0.06330472647826114,0.1748899322822855,0.19971546498985587,0.14597004125013416,91.29788888888888,95.192,0.012544,0.909,2.515,13.274
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.23352891040626114,0.32139351959686296,0.44507756999687587,0.05198112296987272,0.16882130161894104,0.1917917461474671,0.13753139024542696,90.13744444444445,94.89266666666667,0.012544,0.909,2.515,13.274
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,0.3929889845583044,0.24607482800193828,0.3609361874397573,0.0841415485075725,0.16782679709772538,0.1774436049352611,0.14313731684685302,91.10433333333334,92.34333333333333,0.012544,0.909,2.515,13.274
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,0.2608990080034681,0.3036231103630262,0.4354778816335057,0.06347863428064586,0.1796885333150083,0.1912311419742253,0.14479943652329316,90.67444444444443,93.012,0.012544,0.909,2.515,13.274
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.2539172678589614,0.34593467305090647,0.4001480590901322,0.059640102860045945,0.17242993821713082,0.19334643038593113,0.14180549048770263,89.37677777777778,93.204,0.012544,0.909,2.515,13.274
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.37870480622612207,0.2417229031921411,0.37957229058173686,0.06827424630823561,0.1620488378923746,0.18367061898402767,0.13799790106154597,91.20966666666666,94.72066666666666,0.012544,0.909,2.515,13.274
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.27078707988466727,0.2990797486102672,0.4301331715050655,0.08200734918298291,0.16641721256623174,0.20088799339798505,0.14977085171573323,90.96266666666666,95.04733333333334,0.012544,0.909,2.515,13.274
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.2584912119207793,0.3338152658478936,0.4076935222313271,0.06062930617127294,0.170742247820743,0.19559191375936438,0.14232115591712677,90.02988888888889,94.90466666666666,0.012544,0.909,2.515,13.274
