initial_lr,optimizer,criterion,train_data_used,train_set_shuffle,train_batch_size,norm_branch1,norm_branch2,norm_branch3,norm_branch4,std_norm_branch1,std_norm_branch2,std_norm_branch3,std_norm_branch4,avg_std,train accuracy epoch0,test accuracy epoch0,branch1,branch2,branch3,totalFLOPS
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,8,0.07111678443496092,0.2200123081188568,0.5618176847471875,0.1470532226989948,0.08022262324624546,0.08385042465912024,0.086484054237263,0.04445104192249813,0.07375203601628172,76.70195195195195,75.95935603061494,24.576,221,614,2049
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.07217831798893039,0.22512610453739004,0.5985820203191241,0.10411355715455546,0.06194275776485251,0.06902320713335597,0.06920411119989957,0.0267750082819008,0.05673627109500221,75.36986986986987,76.05911850092372,24.576,221,614,2049
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.07907295257390624,0.21592995054687145,0.605745972512796,0.09925112436642632,0.061500132179043494,0.0583650546330321,0.055146878634575035,0.01927031514547291,0.04857059514803089,72.41216216216216,74.52256532066508,24.576,221,614,2049
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.0969934135221933,0.20854253282405405,0.587417167637445,0.10704688601630777,0.05635761913847661,0.051677258209626736,0.05467744520425329,0.018692188176099744,0.0453511276821141,67.6544044044044,70.38638163103721,24.576,221,614,2049
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,8,0.03670107802048951,0.3109509572214835,0.47391335620286046,0.17843460855516655,0.052107621935403824,0.09425699922495387,0.09022057353745318,0.03489217600967235,0.06786934267687081,74.58458458458458,73.41989970968594,24.576,221,614,2049
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.04664956003879211,0.2684039174772686,0.529442937284516,0.15550358519942328,0.04731868133403371,0.056915969487825915,0.07138134203748073,0.03168311942679312,0.051824778071533364,75.41141141141141,75.30535761414622,24.576,221,614,2049
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.05011616442424467,0.24377859521932876,0.5706567380552006,0.135448502301226,0.04802149807909686,0.05160341604438411,0.05041777508624272,0.02123584129601872,0.0428196326264356,74.73123123123123,75.57244655581947,24.576,221,614,2049
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.06601454239018487,0.22486341963968004,0.5887415854324042,0.12038045253773086,0.045425234095295496,0.05337493184076132,0.04738091520265142,0.020157860086840205,0.04158473530638711,72.40815815815816,75.00923726576933,24.576,221,614,2049
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,8,0.04636912827386954,0.4292005690453067,0.3230694571867963,0.20136084549402747,0.03573087110467404,0.11970381200985963,0.11179906996620774,0.039644958890399984,0.07671967799278535,72.33083083083083,72.24228028503562,24.576,221,614,2049
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.04637569151916186,0.3411287416076531,0.4437453790643191,0.16875018780886597,0.044946148610084107,0.07209036631695749,0.07802147256806656,0.026573875369226844,0.05540796571608375,73.8546046046046,74.06017418844021,24.576,221,614,2049
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.0441763424542605,0.2948669897807944,0.4979525223744686,0.16300414539047645,0.051016642603347734,0.060676910040311456,0.07253386697700796,0.023989449909297543,0.05205421738249117,73.98148148148148,74.65980469780945,24.576,221,614,2049
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.05119367557559051,0.24580777968020456,0.561227643249739,0.14177090149446597,0.053863572917442495,0.04965623707981244,0.059025428547126765,0.023754953785188614,0.04657504808239257,72.55355355355354,74.63341250989707,24.576,221,614,2049
