,initial_lr,optimizer,criterion,train_data_used,train_set_shuffle,train_batch_size,norm_conv1x1,norm_conv1x1_3x3,norm_conv1x1_5x5,norm_var_norm_conv1x1,norm_var_norm_conv1x1_3x3,norm_var_norm_conv1x1_5x5,avg_normalized_variance,train accuracy epoch0,test accuracy epoch0,conv1x1FLOPS,conv1x1_3x3FLOPS,conv1x1_5x5FLOPS,totalFLOPS,final_test_accuracy
0,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,0.4084321578411112,0.1742976140282308,0.4172702281306578,0.0136843621391303,0.0420818230119821,0.031081555138806,0.0289492467633061,83.22277777777778,85.48266666666667,0.012544,0.909,2.515,13.274,85.48266666666667
1,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,0.4107170331858494,0.2125467613222142,0.3767362054919362,0.0141358894619614,0.0370123562833851,0.0324462983938139,0.0278648480463868,82.95977777777779,84.96066666666667,0.012544,0.909,2.515,13.274,84.96066666666667
2,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.4194394541694034,0.2356253832513601,0.3449351625792364,0.0110704846403334,0.0257644459987491,0.023573396806731,0.0201361091486045,82.26544444444444,84.16866666666667,0.012544,0.909,2.515,13.274,84.16866666666667
3,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.3947192827134679,0.1785663690783795,0.4267143482081525,0.0142108701070111,0.0574449018957825,0.0334014909570124,0.0350190876532687,83.25944444444444,85.304,0.012544,0.909,2.515,13.274,85.304
4,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.3957072688015884,0.2048999020869694,0.3993928291114422,0.0119591688858003,0.0447903986583556,0.0294131764712303,0.0287209146717954,82.94966666666666,85.29933333333334,0.012544,0.909,2.515,13.274,85.29933333333334
5,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.4114846961606651,0.2333831131761126,0.3551321906632222,0.0079160916969456,0.0288427510895112,0.0225175680040548,0.0197588035968372,82.40933333333334,84.62133333333333,0.012544,0.909,2.515,13.274,84.62133333333333
6,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,0.4292849599912154,0.2084077686947328,0.3623072713140517,0.0162827962272416,0.07750719173284,0.0574545809207619,0.0504148562936145,82.66266666666667,85.04133333333333,0.012544,0.909,2.515,13.274,85.04133333333333
7,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,0.4557087422193644,0.2212480572724001,0.3230432005082354,0.0162741572704118,0.0560063353964675,0.0477932475007794,0.0400245800558862,82.67244444444444,84.85799999999999,0.012544,0.909,2.515,13.274,84.85799999999999
8,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.4862613821795866,0.218135141242918,0.2956034765774953,0.0112353701175222,0.0266835276693479,0.0330497309845406,0.0236562095904702,82.03044444444444,84.30199999999999,0.012544,0.909,2.515,13.274,84.30199999999999
9,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.4292827469083864,0.2022110575736362,0.3685061955179772,0.0141307267516842,0.0782300662814304,0.0559039028524975,0.049421565295204,82.762,84.73,0.012544,0.909,2.515,13.274,84.73
10,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.4428789212809623,0.2021573436509661,0.3549637350680715,0.0148373626189099,0.0567945868520537,0.0504554186615846,0.0406957893775161,82.68222222222222,84.93333333333334,0.012544,0.909,2.515,13.274,84.93333333333334
11,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.4690792069220893,0.225159843347892,0.3057609497300186,0.011791794112721,0.0361077948913576,0.0335083924015564,0.0271359938018783,82.20477777777778,84.66000000000001,0.012544,0.909,2.515,13.274,84.66000000000001
12,0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,0.4763652999333439,0.214006522271387,0.3096281777952691,0.0177725856837116,0.0727947241980335,0.0636356030986063,0.0514009709934505,82.18411111111112,84.444,0.012544,0.909,2.515,13.274,84.444
13,0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,0.4887475127173378,0.2217521779528631,0.2895003093297991,0.0119322030983859,0.0576191113760626,0.0558045521542558,0.0417852888762348,82.31266666666667,84.59333333333333,0.012544,0.909,2.515,13.274,84.59333333333333
14,0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.5155784968053857,0.2236316017526053,0.2607899014420088,0.0139563109503671,0.0341498544708285,0.0382253430336197,0.0287771694849385,81.84666666666666,84.28466666666667,0.012544,0.909,2.515,13.274,84.28466666666667
15,0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.468709510063806,0.2329178724358302,0.2983726175003636,0.0134610445057838,0.0750802934237059,0.0654014753233952,0.051314271084295,82.248,84.19933333333333,0.012544,0.909,2.515,13.274,84.19933333333333
16,0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.4572279690282557,0.2145179814411387,0.3282540495306055,0.0158283307957681,0.0612861194768773,0.0562864645948138,0.0444669716224864,82.40411111111112,84.82400000000001,0.012544,0.909,2.515,13.274,84.82400000000001
