initial_lr,optimizer,criterion,train_data_used,train_set_shuffle,train_batch_size,norm_conv1x1,norm_conv1x1_3x3,norm_conv1x1_5x5,norm_var_norm_conv1x1,norm_var_norm_conv1x1_3x3,norm_var_norm_conv1x1_5x5,avg_normalized_variance,train accuracy epoch0,test accuracy epoch0,conv1x1FLOPS,conv1x1_3x3FLOPS,conv1x1_5x5FLOPS,totalFLOPS
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,0.4163939022333178,0.17574303229353896,0.40786306547314327,0.012021378591044414,0.04023345420300546,0.02927432164212491,0.027176384812058262,83.21933333333332,85.51333333333334,0.012544,0.909,2.515,13.274
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,0.41713969381202726,0.21248610188639386,0.3703742043015789,0.013948185353474689,0.035662533094387536,0.03159777430740475,0.027069497585088993,82.95933333333332,84.95933333333333,0.012544,0.909,2.515,13.274
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.42542859583150167,0.23468562407271923,0.3398857800957791,0.010876732537280033,0.02562222434359967,0.02223950356369791,0.019579486814859205,82.26277777777777,84.26133333333334,0.012544,0.909,2.515,13.274
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.4000634635859548,0.1819939318051176,0.4179426046089276,0.012392359550159096,0.05429033090762828,0.03186144391547058,0.03284804479108599,83.25944444444444,85.304,0.012544,0.909,2.515,13.274
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.40371444582843863,0.20701484765996553,0.38927070651159584,0.011615578318993826,0.04408242117571857,0.02909627656379138,0.028264758686167925,82.94388888888889,85.28266666666667,0.012544,0.909,2.515,13.274
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.4186702341401494,0.23343572883338354,0.3478940370264671,0.008130834244627662,0.02855814724580722,0.02264852801151151,0.019779169833982133,82.40666666666667,84.66066666666667,0.012544,0.909,2.515,13.274
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,0.4357659844455591,0.20764306981918962,0.3565909457352513,0.013265885560497109,0.06961457254084764,0.05162543662435687,0.044835298241900544,82.66677777777778,85.05533333333332,0.012544,0.909,2.515,13.274
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,0.45573442025424205,0.21943139159055464,0.3248341881552033,0.014151286289705209,0.0502216093187062,0.04492437037828703,0.03643242199556614,82.65677777777778,84.78266666666667,0.012544,0.909,2.515,13.274
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.4856685024953885,0.2202737006976832,0.29405779680692834,0.009982578259275548,0.026082660181707955,0.031472733354520166,0.02251265726516789,82.03144444444443,84.28266666666667,0.012544,0.909,2.515,13.274
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.4308720255822352,0.2017168886549619,0.36741108576280285,0.011187574598178655,0.07191345056452571,0.051631401307026974,0.044910808823243775,82.759,84.54866666666666,0.012544,0.909,2.515,13.274
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.44433157366552384,0.2040568174854623,0.3516116088490139,0.013218583862434859,0.05432587357708255,0.04767272287684468,0.038405726772120695,82.68144444444444,84.93933333333332,0.012544,0.909,2.515,13.274
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.46905325597479985,0.2290562130901968,0.30189053093500334,0.010866081903080036,0.03497385959566335,0.03370833842088752,0.026516093306543632,82.19733333333333,84.66133333333333,0.012544,0.909,2.515,13.274
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,0.4750351284690513,0.2160663320917179,0.3088985394392308,0.01531249874153044,0.06722158357529234,0.0642892755605139,0.048941119292445566,82.18444444444444,84.56333333333333,0.012544,0.909,2.515,13.274
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,0.4886848259803606,0.22479646413504642,0.28651870988459294,0.010907635019430024,0.05579322907135719,0.05304767832552962,0.03991618080543894,82.31022222222222,84.58066666666667,0.012544,0.909,2.515,13.274
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.5108914692003945,0.22652375184205611,0.2625847789575494,0.011758731883952591,0.032865150738352576,0.03599972909656152,0.02687453723962223,81.83955555555555,84.23133333333334,0.012544,0.909,2.515,13.274
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.4665045912102823,0.233631955146964,0.2998634536427537,0.011769431120929102,0.07357372121094664,0.0645754692599504,0.04997287386394205,82.26677777777779,83.92800000000001,0.012544,0.909,2.515,13.274
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.4543992724222984,0.2167957976067067,0.328804929970995,0.012558495208065044,0.06072178832348292,0.053359679224631605,0.04221332091872652,82.40044444444445,84.86733333333333,0.012544,0.909,2.515,13.274
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.4940029473024843,0.22583408936578667,0.2801629633317291,0.010058667073716386,0.034496892448078874,0.043070598220873585,0.029208719247556286,82.06755555555556,84.52466666666666,0.012544,0.909,2.515,13.274
