initial_lr,optimizer,criterion,train_data_used,train_set_shuffle,train_batch_size,conv1x1,conv1x1_3x3.0,conv1x1_3x3.1,conv1x1_5x5.0,conv1x1_5x5.1,train accuracy epoch0,train accuracy epoch1,train accuracy epoch2,test accuracy epoch0,test accuracy epoch1,test accuracy epoch2,method,run
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,201.1394209001704,777.0817550781077,777.0817482402538,824.1515156656379,824.1515145845937,61.831831831831835,90.25150150150151,93.76126126126127,73.46001583531275,78.66191607284244,79.83372921615202,integrated_gradients,11
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,201.31294,296.09113,296.0911,1432.1061,1432.1061,60.86711711711712,89.68843843843844,93.22447447447448,73.04038004750593,74.34679334916865,79.51702296120348,deeplift,12
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,190.70769071080983,260.96705306071516,260.967054255478,1305.5862828886254,1305.5862700272826,60.86711711711712,89.88738738738739,93.02177177177177,73.04038004750593,78.65399841646872,78.55898653998416,integrated_gradients,12
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,231.99214,711.66345,711.66345,737.6182,737.6184,55.27402402402402,88.34084084084084,92.92792792792793,69.2319873317498,79.39034045922406,79.87331749802058,deeplift,13
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,257.56404689285785,706.3656952257348,706.3656879773342,719.6068545624258,719.6068559477844,55.27402402402402,88.46471471471472,92.80405405405405,69.23990498812351,79.04196357878068,79.20031670625495,integrated_gradients,13
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,125.219376,854.5266,854.52673,1157.0565,1157.0564,60.416666666666664,90.3566066066066,93.05555555555556,72.73159144893111,76.49247822644497,78.17893903404592,deeplift,14
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,128.13675708347589,842.5412724261837,842.5412764654086,1261.4040926391954,1261.4040921235783,60.416666666666664,90.13888888888889,93.10435435435436,72.73159144893111,78.49564528899445,79.04988123515439,integrated_gradients,14
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,155.87323,932.43494,932.43506,853.4221,853.42206,66.53903903903904,89.83108108108108,92.54504504504504,76.7458432304038,78.88361045130641,80.73634204275534,deeplift,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,144.38558533967628,939.4357574181889,939.4357668671978,836.2790410108444,836.2790478963618,66.53903903903904,89.81231231231232,92.52252252252252,76.72209026128266,80.4750593824228,82.82660332541568,integrated_gradients,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,251.81508,272.08215,272.08206,1431.5671,1431.5669,65.25525525525525,89.24924924924925,92.58633633633633,72.51781472684085,77.07046714172606,80.89469517022961,deeplift,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,223.35996311312402,236.78384116170332,236.78383771060206,1351.9773972608966,1351.9774016883364,65.04504504504504,89.59834834834835,92.13963963963964,72.8424386381631,79.14489311163895,80.79176563737134,integrated_gradients,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,221.40997,657.2668,657.26654,1226.4814,1226.4811,66.92942942942943,90.23273273273273,92.75150150150151,75.93032462391132,77.96516231195567,80.79968329374505,deeplift,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,184.87911218725083,512.101258754883,512.1012652756924,1168.685500270336,1168.68549369102,66.92942942942943,90.28528528528528,92.83783783783784,75.93032462391132,76.70625494853523,81.03721298495645,integrated_gradients,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,225.65167,593.1331,593.13324,1275.4613,1275.4615,67.93543543543544,89.93243243243244,92.63513513513513,76.69833729216153,80.7125890736342,80.31670625494854,deeplift,3
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,229.7576045643916,651.7169701652751,651.7169659125844,1259.675594920851,1259.6756067096273,67.93543543543544,89.93993993993993,92.87162162162163,76.69833729216153,80.7125890736342,79.2319873317498,integrated_gradients,3
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,172.01535,963.4232,963.4232,427.6581,427.65823,61.546546546546544,89.09534534534535,92.0457957957958,76.04908946951703,80.57798891528108,78.60649247822644,deeplift,4
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,143.78785235639685,996.0087467656232,996.0087370622548,430.7972423117216,430.79724600998964,61.546546546546544,89.23423423423424,91.95195195195195,76.04908946951703,79.12905779889152,78.36896278701505,integrated_gradients,4
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,108.500114,1244.088,1244.0876,338.98248,338.98245,61.51276276276276,88.28078078078079,91.92942942942943,75.29691211401425,80.15835312747427,79.31116389548694,deeplift,5
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,102.31182301769387,1230.8634938772518,1230.8634979371063,355.5170526772385,355.5170510447111,61.51651651651652,88.23198198198199,92.02702702702703,75.29691211401425,80.73634204275534,79.73871733966746,integrated_gradients,5
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,182.6141,951.3591,951.3589,878.6925,878.6929,66.92192192192192,89.80855855855856,92.87537537537537,75.54235946159936,80.02375296912113,80.63341250989707,deeplift,6
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,187.4365949554754,973.1146767476614,973.1146700368998,865.7695359815027,865.7695361112998,66.92192192192192,89.81981981981981,92.48123123123123,75.54235946159936,79.02612826603325,79.10530482977039,integrated_gradients,6
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,167.49226,684.0325,684.03253,1071.9623,1071.9625,66.14489489489489,89.87612612612612,92.86411411411412,74.99604117181315,80.34045922406968,80.28503562945369,deeplift,7
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,165.1644833743931,659.0096448444751,659.0096482480022,1028.7043732948548,1028.7043577707625,66.14114114114115,89.62837837837837,93.04429429429429,75.027711797308,80.95803642121932,79.68329374505146,integrated_gradients,7
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,165.58974,663.03015,663.03,1029.0535,1029.0535,63.2545045045045,89.33558558558559,92.29729729729729,74.41013460015836,80.09501187648456,79.39825811559778,deeplift,8
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,134.32384721943947,660.9133907216692,660.9134026813217,1117.290283863858,1117.2902906542618,63.23198198198198,89.33183183183183,92.04954954954955,73.99049881235155,81.3618368962787,78.57482185273159,integrated_gradients,8
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,253.81479,886.4138,886.4138,816.6426,816.6424,71.18243243243244,90.91591591591592,93.22822822822823,79.37450514647664,77.08630245447348,80.43547110055424,deeplift,9
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,301.51215583347044,927.6273847694299,927.6273940089002,867.2842858529829,867.2842783264738,71.13738738738739,90.23648648648648,93.76876876876877,76.84877276326208,77.09422011084719,79.14489311163895,integrated_gradients,9
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,173.52538,425.4333,425.43326,1193.8463,1193.8466,63.986486486486484,89.92117117117117,92.43618618618619,73.23040380047506,78.42438638163104,80.07125890736341,deeplift,10
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,131.42100787550942,392.0942749880132,392.0942732818957,1251.8366644587204,1251.8366582358838,63.986486486486484,89.84234234234235,92.67267267267268,73.23040380047506,78.73317498020586,79.53285827395091,integrated_gradients,10
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,208.02438,965.0412,965.04144,982.22955,982.2292,67.21471471471472,90.15015015015015,92.86786786786787,73.53919239904988,78.37688044338876,82.1931908155186,deeplift,11
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,191.70887385747196,845.5886978779363,845.5886944432983,896.4003293157715,896.4003148283724,67.21096096096096,90.03378378378379,92.7102102102102,76.44497228820269,79.3507521773555,80.30878859857482,integrated_gradients,11
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,223.47026,449.45978,449.45972,1174.0625,1174.0626,66.81681681681681,90.73948948948949,93.17192192192192,74.23594615993666,78.59857482185274,80.78384798099762,deeplift,12
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,219.31320709616134,488.42215890515297,488.42215885026985,1284.900587739874,1284.900585688927,66.76426426426427,90.88588588588588,92.96921921921921,75.85114806017418,78.30562153602534,79.42992874109264,integrated_gradients,12
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,188.6172,974.1113,974.1117,586.4896,586.48956,57.927927927927925,87.36861861861861,91.05855855855856,74.41013460015836,77.6326207442597,81.298495645289,deeplift,13
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,159.8332262647617,902.9654331409638,902.965436706053,516.8128200589618,516.8128169889907,57.927927927927925,87.49624624624624,90.66066066066067,74.41013460015836,76.12034837688044,79.47743467933492,integrated_gradients,13
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,101.8283,698.23065,698.2306,1214.1443,1214.1442,62.3948948948949,89.61711711711712,92.51501501501501,72.9612034837688,77.458432304038,79.97624703087887,deeplift,14
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,102.69458562216286,635.3777776944245,635.3777716443282,1294.4892052118469,1294.489201794021,62.376126126126124,89.5945945945946,92.1921921921922,73.840063341251,77.25257323832146,77.53760886777513,integrated_gradients,14
