initial_lr,optimizer,criterion,train_data_used,train_set_shuffle,train_batch_size,norm_branch1,norm_branch2,norm_branch3,norm_branch4,std_norm_branch1,std_norm_branch2,std_norm_branch3,std_norm_branch4,avg_std,train accuracy epoch0,test accuracy epoch0,branch1,branch2,branch3,totalFLOPS
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,8,0.21106402326707652,0.15191949351438794,0.16278908367401698,0.47422739954451854,0.07746908845857348,0.07334167217655303,0.09049576336359154,0.05113857756090031,0.07311127538990458,85.47122222222222,87.35,56.448,56.448,56.448,365
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.26675250862234967,0.18083752788641747,0.20499799239716013,0.34741197109407274,0.09877663722516292,0.07636071500915928,0.10097101483900123,0.04447384994687241,0.08014555425504896,85.20777777777779,87.28866666666666,56.448,56.448,56.448,365
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.2882935009762603,0.20307880239693724,0.22573306450177782,0.28289463212502464,0.08854348111230662,0.07085600421786148,0.0895295692588304,0.04001002849924597,0.07223477077206111,84.80199999999999,87.02600000000001,56.448,56.448,56.448,365
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.290282034017648,0.22638446427435638,0.24318641880954273,0.24014708289845285,0.06945364219204157,0.056202377344638135,0.07182678399795736,0.029852672633852162,0.05683386904212231,84.1141111111111,86.61933333333333,56.448,56.448,56.448,365
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,8,0.1262330412238089,0.11003017310128417,0.08313356543908888,0.680603220235818,0.0622081315780523,0.07332819845350941,0.058401315347384554,0.04394594690168965,0.05947089807015898,85.38977777777777,87.03999999999999,56.448,56.448,56.448,365
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.1659912318714263,0.13443601909714134,0.11779481444921511,0.5817779345822172,0.05414082477765111,0.06312795420188194,0.04572729285593092,0.03262487147261605,0.048905235827020006,85.51744444444445,87.5,56.448,56.448,56.448,365
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.21594595666463418,0.1646094155293622,0.16466687811273045,0.4547777496932731,0.05118516791137239,0.0608224649928483,0.06684664767831272,0.03670909010108802,0.05389084267090536,85.41177777777779,87.46533333333333,56.448,56.448,56.448,365
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.260874908924751,0.18798763378185507,0.205218934231969,0.3459185230614249,0.07115075111533009,0.061518923081225266,0.07652037237352005,0.03859639237070963,0.06194660973519626,85.00077777777777,87.338,56.448,56.448,56.448,365
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,8,0.1017945051845756,0.08382370657975231,0.09161085417099195,0.7227709340646802,0.06375929933174938,0.059756027666601055,0.05592127788857568,0.034499748386169656,0.05348408831827394,85.0128888888889,86.384,56.448,56.448,56.448,365
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.13900482222093785,0.11531366561739836,0.10528282387610453,0.6403986882855592,0.0531127040837803,0.06554485400865277,0.04499868172638686,0.031161449915230507,0.04870442243351261,85.36311111111111,87.22466666666668,56.448,56.448,56.448,365
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.17663777852704182,0.141267076263921,0.1355504589830449,0.5465446862259923,0.040336074469170556,0.054124397934143934,0.04945473033873061,0.038955040967779825,0.04571756092745623,85.42155555555556,87.42133333333332,56.448,56.448,56.448,365
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.23139221462079343,0.1740795349119462,0.17949672919380769,0.4150315212734527,0.05726218239813699,0.05644143879390207,0.06757396482611389,0.038356916265295964,0.05490862557086223,85.14255555555556,87.50333333333333,56.448,56.448,56.448,365
