,initial_lr,optimizer,criterion,train_data_used,train_set_shuffle,train_batch_size,norm_branch1.0,norm_branch2.0,norm_branch3.0,norm_var_norm_branch1.0,norm_var_norm_branch2.0,norm_var_norm_branch3.0,avg_normalized_variance,train accuracy epoch0,test accuracy epoch0,branch1.0FLOPS,branch2.0FLOPS,branch3.0FLOPS,totalFLOPS,final_test_accuracy
0,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,0.3275699806522916,0.3413171858370885,0.3311128335106197,0.0165251111055804,0.0081042499845322,0.0129627043284059,0.0125306884728395,89.27244444444445,92.28933333333332,0.012544,0.012544,0.012544,9.674,92.28933333333332
1,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,0.320664913551625,0.3501724047655349,0.3291626816828401,0.0154330727873719,0.0068220859859663,0.01069619903453,0.0109837859359561,87.77544444444445,91.56933333333332,0.012544,0.012544,0.012544,9.674,91.56933333333332
2,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.3196704196046755,0.3561383248874194,0.324191255507905,0.0184162909993442,0.0073493320248697,0.0127122153179708,0.0128259461140616,86.28877777777778,90.948,0.012544,0.012544,0.012544,9.674,90.948
3,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.3284192115786226,0.3418204814958783,0.3297603069254991,0.0153860688338409,0.0083556878274916,0.0126846833892144,0.0121421466835156,89.07111111111111,93.72533333333334,0.012544,0.012544,0.012544,9.674,93.72533333333334
4,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.3209667337886812,0.3488881381763616,0.3301451280349571,0.0162861820149046,0.0071016316360582,0.0129476430475861,0.0121118188995163,87.95511111111111,92.85466666666666,0.012544,0.012544,0.012544,9.674,92.85466666666666
5,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.3187855019138449,0.3581070766061294,0.3231074214800256,0.01652084162554,0.0064045396258526,0.0095282505782167,0.0108178772765364,86.79288888888888,91.886,0.012544,0.012544,0.012544,9.674,91.886
6,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,0.329065992209111,0.3297974696977041,0.3411365380931849,0.0153186604240623,0.0113876958155413,0.0180847021186488,0.0149303527860841,89.98155555555556,93.01666666666668,0.012544,0.012544,0.012544,9.674,93.01666666666668
7,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,0.3320550593885141,0.3360158705008708,0.331929070110615,0.0172030242196319,0.0100928787184072,0.0130523326102986,0.0134494118494459,88.39755555555556,92.22133333333332,0.012544,0.012544,0.012544,9.674,92.22133333333332
8,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.3274219402827975,0.3470946470855941,0.3254834126316084,0.0204104070760638,0.0097912887978583,0.0127746431470937,0.0143254463403386,86.38377777777778,91.46266666666666,0.012544,0.012544,0.012544,9.674,91.46266666666666
9,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.3407462890136245,0.3191102835299232,0.3401434274564522,0.0163732537729711,0.0122632711369039,0.0180149129804534,0.0155504792967761,89.90911111111112,94.48866666666666,0.012544,0.012544,0.012544,9.674,94.48866666666666
10,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.3289874663724295,0.3335372282292381,0.3374753053983323,0.0135120023794189,0.0107928338894582,0.0149468368108373,0.0130838910265714,88.52322222222223,93.73666666666666,0.012544,0.012544,0.012544,9.674,93.73666666666666
11,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.3239357066383868,0.3457218179581127,0.3303424754035005,0.0167486528187358,0.0101208176861224,0.0115122482951371,0.0127939062666651,87.18144444444445,92.54933333333334,0.012544,0.012544,0.012544,9.674,92.54933333333334
12,0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,0.3255449221123177,0.3264759693580392,0.347979108529643,0.0199083386843902,0.0161274220087457,0.0243735118310291,0.0201364241747217,89.81111111111112,92.08533333333334,0.012544,0.012544,0.012544,9.674,92.08533333333334
13,0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,0.3302202503196984,0.328479568755354,0.3413001809249475,0.0153406999227577,0.0092147757451713,0.0137918012278381,0.0127824256319224,88.30255555555556,91.27533333333334,0.012544,0.012544,0.012544,9.674,91.27533333333334
14,0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.3255505845106939,0.3412851645589113,0.3331642509303947,0.0176211138292398,0.0083030920839151,0.0120734374134006,0.0126658811088518,86.28133333333334,91.30266666666668,0.012544,0.012544,0.012544,9.674,91.30266666666668
15,0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.340285717677588,0.3194169107470023,0.3402973715754097,0.0170437643228495,0.0102267034673508,0.0154666819461996,0.0142457165788,89.85422222222222,94.356,0.012544,0.012544,0.012544,9.674,94.356
16,0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.329840729319692,0.3351491093716351,0.3350101613086727,0.0231584977297813,0.0135910786035041,0.0197608632746668,0.0188368132026507,88.52133333333333,93.878,0.012544,0.012544,0.012544,9.674,93.878
