initial_lr,optimizer,criterion,train_data_used,train_set_shuffle,train_batch_size,norm_conv1x1,norm_conv1x1_3x3,norm_conv1x1_5x5,norm_var_norm_conv1x1,norm_var_norm_conv1x1_3x3,norm_var_norm_conv1x1_5x5,avg_normalized_variance,train accuracy epoch0,test accuracy epoch0,conv1x1FLOPS,conv1x1_3x3FLOPS,conv1x1_5x5FLOPS,totalFLOPS
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,0.1920496355084695,0.2704295023234239,0.5375208621681066,0.24190411192563585,0.5592926144186154,0.3049860216111086,0.3687275826517866,92.02955555555556,93.44333333333334,0.012544,0.909,2.515,13.274
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,0.18721178652377485,0.30934394663526266,0.5034442668409624,0.1978627550663204,0.4764774063585853,0.3100917530871676,0.3281439715040244,91.00655555555555,93.68866666666666,0.012544,0.909,2.515,13.274
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.21298520094849835,0.3087281530581831,0.47828664599331855,0.18792680195600453,0.4253858372100773,0.31183183501019685,0.30838149139209287,89.63033333333333,93.46733333333333,0.012544,0.909,2.515,13.274
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.18060459892625588,0.2756950314398349,0.5437003696339091,0.19101504834949298,0.5120424462997661,0.2811286256714806,0.32806204010691326,92.0951111111111,95.51266666666668,0.012544,0.909,2.515,13.274
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.17603297540007581,0.30509784268116447,0.5188691819187597,0.25460261770319514,0.45266840781762735,0.29062500172759437,0.33263200908280566,91.35922222222221,95.52399999999999,0.012544,0.909,2.515,13.274
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.199399021867261,0.3023269547217058,0.4982740234110332,0.2121029938877733,0.46091273468139854,0.30998550540785064,0.3276670779923408,90.03044444444444,94.718,0.012544,0.909,2.515,13.274
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,0.26889477837968734,0.24211653533096375,0.48898868628934894,0.3193335510878799,0.7879375527956513,0.4039543862623383,0.5037418300486232,91.61511111111112,92.62533333333334,0.012544,0.909,2.515,13.274
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,0.22520796669970544,0.30864052994610996,0.4661515033541846,0.21299108489944935,0.5564546336795835,0.39942181790630893,0.3896225121617806,90.93866666666666,93.82199999999999,0.012544,0.909,2.515,13.274
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.25032927304478264,0.33753620122009065,0.4121345257351267,0.23883320580822576,0.46574709618544785,0.41945391144849,0.3746780711473878,89.59777777777778,93.33,0.012544,0.909,2.515,13.274
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.268649430316199,0.24989653076530466,0.4814540389184963,0.23401738539511893,0.6499395279806809,0.360084677117349,0.41468053016438294,91.68311111111112,95.15666666666667,0.012544,0.909,2.515,13.274
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.22836024836462485,0.3124066317872278,0.4592331198481474,0.2897474628978268,0.5500369217884528,0.4236822804932972,0.4211555550598589,91.29266666666668,95.22066666666666,0.012544,0.909,2.515,13.274
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.2402327264585275,0.3261945467733016,0.4335727267681708,0.22322000109489976,0.5015349293135621,0.4265136859528142,0.3837562054537587,90.13655555555556,94.89866666666667,0.012544,0.909,2.515,13.274
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,0.34472398016561717,0.229618459877551,0.42565755995683185,0.2889040857220774,0.8248698822431608,0.4563655821614144,0.5233798500422175,91.09611111111111,92.09400000000001,0.012544,0.909,2.515,13.274
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,0.2565417841045174,0.3071214417840842,0.43633677411139843,0.24640240595191892,0.5696611388244642,0.4233235935850791,0.41312904612048734,90.68344444444443,92.96000000000001,0.012544,0.909,2.515,13.274
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.25641936790742464,0.3438371698560379,0.3997434622365375,0.226773776678402,0.4537369011909898,0.44047912064425515,0.37366326617121565,89.37122222222223,93.144,0.012544,0.909,2.515,13.274
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.35270610096991795,0.23014140517163428,0.4171524938584478,0.29342404935442096,0.7187091624423411,0.45698593153957257,0.48970638111211157,91.19722222222222,94.74666666666667,0.012544,0.909,2.515,13.274
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.2681542515995064,0.30374327318602024,0.42810247521447337,0.297517673846241,0.5270432661666403,0.45513397020577245,0.4265649700728846,90.96355555555556,95.048,0.012544,0.909,2.515,13.274
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.25799104825610447,0.33966023886544894,0.40234871287844665,0.246039034131265,0.4862513089911958,0.4601703837733904,0.3974869089652837,90.03488888888889,94.92266666666666,0.012544,0.909,2.515,13.274
