,initial_lr,optimizer,criterion,train_data_used,train_set_shuffle,train_batch_size,norm_conv1x1,norm_conv1x1_3x3,norm_conv1x1_5x5,norm_var_norm_conv1x1,norm_var_norm_conv1x1_3x3,norm_var_norm_conv1x1_5x5,avg_normalized_variance,train accuracy epoch0,train accuracy epoch1,train accuracy epoch2,test accuracy epoch0,test accuracy epoch1,test accuracy epoch2,conv1x1FLOPS,conv1x1_3x3FLOPS,conv1x1_5x5FLOPS,totalFLOPS,final_test_accuracy
3,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.069898389299132,0.2488180339800774,0.6812835767207907,0.304462161757891,0.2930355620661127,0.1059866553099579,0.2344947930446539,73.08458458458458,92.57507507507508,94.90490490490492,77.48218527315915,80.16574294008973,81.12905779889154,0.049152,1.204,3.301,17.927,81.12905779889154
4,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.0670191242034819,0.2188262657400946,0.7141546100564234,0.2761725200097903,0.2958504005618534,0.0933861134766242,0.2218030113494227,70.24424424424426,92.4034034034034,95.20345345345346,76.23964106624439,79.67168118237002,81.03140670361573,0.049152,1.204,3.301,17.927,81.03140670361573
5,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.0842300434100652,0.2018429941955567,0.713926962394378,0.2202326213228344,0.3175373569172215,0.086072340598085,0.2079474396127136,64.42942942942943,91.15365365365366,94.98848848848849,73.11005542359462,78.93850620216416,80.74109263657958,0.049152,1.204,3.301,17.927,80.74109263657958
9,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.0925224341217779,0.3662792313835642,0.5411983344946578,0.330024198252929,0.3983084856172887,0.2662047874511554,0.3315124904404577,69.71471471471472,90.1574074074074,92.80255255255254,75.64634468197413,79.20242808128793,80.33676431776193,0.049152,1.204,3.301,17.927,80.33676431776193
10,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.0831442908122931,0.3406925834161186,0.5761631257715882,0.2639382127049914,0.3769422356736819,0.2220336437790311,0.2876380307192348,67.77527527527528,91.03353353353351,93.87712712712712,75.61414621272102,79.39245183425706,80.34045922406968,0.049152,1.204,3.301,17.927,80.34045922406968
11,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.0997956613918804,0.3164437065198298,0.5837606320882897,0.2169454451114377,0.3748875688222206,0.2034060174620663,0.2650796771319082,62.74274274274274,90.62287287287288,94.07257257257258,73.2019002375297,78.92900501451571,80.73950910530483,0.049152,1.204,3.301,17.927,80.73950910530483
15,0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.119922786360265,0.417129020762397,0.4629481928773379,0.3108181007478864,0.3770272531919962,0.3350855718632025,0.340976975267695,64.38088088088088,87.45895895895896,90.48998998998998,73.71707574557931,76.91897598310901,79.00607020321985,0.049152,1.204,3.301,17.927,79.00607020321985
16,0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.0925085087535398,0.3982195895453318,0.5092719017011283,0.2616114134475997,0.4115888267516034,0.3139072311749141,0.3290358237913724,65.01401401401401,89.59809809809809,92.45995995995996,75.24835048825548,79.00712589073633,79.6526788070731,0.049152,1.204,3.301,17.927,79.6526788070731
17,0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.1085704698469876,0.3577454394878712,0.5336840906651411,0.2296749672966176,0.3959184006757299,0.2698755864416109,0.2984896514713195,60.27777777777778,89.51176176176176,93.3716216216216,71.6859329638427,79.25574030087094,79.90709949854843,0.049152,1.204,3.301,17.927,79.90709949854843
