,initial_lr,optimizer,criterion,train_data_used,train_set_shuffle,train_batch_size,norm_conv1x1,norm_conv1x1_3x3,norm_conv1x1_5x5,norm_var_norm_conv1x1,norm_var_norm_conv1x1_3x3,norm_var_norm_conv1x1_5x5,avg_normalized_variance,train accuracy epoch0,train accuracy epoch1,train accuracy epoch2,test accuracy epoch0,test accuracy epoch1,test accuracy epoch2,conv1x1FLOPS,conv1x1_3x3FLOPS,conv1x1_5x5FLOPS,totalFLOPS,final_test_accuracy
3,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.0753038808270303,0.2477459886161073,0.6769501305568624,0.2750752324733945,0.2853169184535221,0.102373979733068,0.2209220435533282,73.08683683683684,92.54454454454456,94.89714714714717,77.43415149115862,80.07812087622064,80.33887569279493,0.049152,1.204,3.301,17.927,80.33887569279493
4,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.0727235351693305,0.224492785284178,0.7027836795464915,0.2509222361601671,0.2818392329246775,0.0890175828541625,0.207259683979669,70.22872872872874,92.41491491491492,95.20270270270272,76.21008181578253,79.60358933755609,80.78859857482185,0.049152,1.204,3.301,17.927,80.78859857482185
5,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.0876153158542759,0.2096548571071879,0.7027298270385359,0.2057345150161009,0.2968850645150845,0.0813359504640043,0.19465184333173,64.41216216216216,91.14814814814814,94.99024024024024,73.05727104776985,79.00448667194512,80.62127210345737,0.049152,1.204,3.301,17.927,80.62127210345737
9,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.10117805946984,0.3681126549497092,0.5307092855804508,0.2586861913907518,0.3726695849471448,0.2509312012456038,0.2940956591945001,69.6594094094094,90.31606606606606,92.74824824824825,75.8279229348113,79.71602005806282,80.50197941409343,0.049152,1.204,3.301,17.927,80.50197941409343
10,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.0871255106689171,0.3417580001443571,0.5711164891867256,0.2643036904302879,0.373934066000363,0.2184379619284807,0.2855585727863772,67.77102102102101,91.09309309309307,93.76051051051051,75.8078648719979,79.58089205595144,80.84296648192135,0.049152,1.204,3.301,17.927,80.84296648192135
11,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.1002005902671949,0.3181245896579892,0.5816748200748159,0.228963869831671,0.3742364536532048,0.198904483608177,0.2673682690310177,62.74124124124124,90.5910910910911,94.11586586586586,73.17867511216679,79.13064133016627,80.84402216943785,0.049152,1.204,3.301,17.927,80.84402216943785
15,0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.1303093207115749,0.4071437275903896,0.4625469516980355,0.2859785716713195,0.3708414758393634,0.3286068769031947,0.3284756414712925,64.4104104104104,87.35385385385386,90.62312312312312,73.83108999736078,77.9345473739773,78.70625494853523,0.049152,1.204,3.301,17.927,78.70625494853523
16,0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.0976999680263122,0.4024492400074932,0.4998507919661945,0.2261356701249421,0.3916119099879423,0.3024114021186483,0.3067196607438442,65.03753753753753,89.62362362362363,92.52052052052052,75.06254948535233,78.89363948271311,80.38268672472948,0.049152,1.204,3.301,17.927,80.38268672472948
17,0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.1103199358083047,0.3562615294936261,0.5334185346980692,0.2125688480958452,0.3962350485471437,0.2608036369104637,0.2898691778511509,60.297547547547545,89.53828828828829,93.4496996996997,72.03167062549485,78.23911322248614,80.18896806545263,0.049152,1.204,3.301,17.927,80.18896806545263
