initial_lr,optimizer,criterion,train_data_used,train_set_shuffle,train_batch_size,branch1.0,branch2.0,branch3.0,branch4.0,train accuracy epoch0,train accuracy epoch1,train accuracy epoch2,test accuracy epoch0,test accuracy epoch1,test accuracy epoch2,method,run
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,231.5287841796875,276.046728515625,332.75966796875,123.81083984375,75.91216216216216,92.3198198198198,95.00750750750753,73.81631037212985,78.50356294536817,81.09263657957244,deeplift,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,231.452995148312,275.9857951264394,332.8922059902727,123.81083202656598,75.91216216216216,92.3198198198198,95.00750750750753,73.81631037212985,78.50356294536817,81.09263657957244,integrated_gradients,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,280.4076904296875,330.142529296875,224.028173828125,155.7748779296875,75.06756756756756,92.96171171171171,94.81231231231232,76.66666666666667,80.46714172604909,81.243072050673,deeplift,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,280.3953279539203,330.10308789121655,224.1251530357462,155.77486503986947,75.06756756756756,92.96171171171171,94.81231231231232,76.66666666666667,80.46714172604909,81.243072050673,integrated_gradients,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,292.8870849609375,236.746875,322.9033203125,116.18619384765626,76.54654654654655,92.50750750750753,94.8536036036036,76.1520190023753,80.50673000791765,78.66983372921615,deeplift,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,292.78895132459155,236.68022355278987,322.8900311551584,116.18619091564014,76.54654654654655,92.50750750750753,94.8536036036036,76.1520190023753,80.50673000791765,78.66983372921615,integrated_gradients,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,358.159228515625,172.0022705078125,188.989404296875,132.3041015625,75.2102102102102,92.75525525525524,95.16516516516516,77.71179730799683,80.08709422011084,80.07125890736341,deeplift,3
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,358.1350195733247,171.99299093092867,188.95110726919256,132.30411115523253,75.2102102102102,92.75525525525524,95.16516516516516,77.71179730799683,80.08709422011084,80.07125890736341,integrated_gradients,3
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,273.41962890625,249.9142578125,279.9013671875,142.29698486328124,76.16366366366367,92.24849849849848,94.29804804804805,79.20031670625495,76.61124307205067,80.75217735550277,deeplift,4
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,273.48253211018374,249.9468284195863,279.8646332123078,142.2969917847294,76.16366366366367,92.24849849849848,94.29804804804805,79.20031670625495,76.61124307205067,80.75217735550277,integrated_gradients,4
