initial_lr,optimizer,criterion,train_data_used,train_set_shuffle,train_batch_size,branch1.0,branch2.0,branch3.0,branch4.0,train accuracy epoch0,train accuracy epoch1,train accuracy epoch2,test accuracy epoch0,test accuracy epoch1,test accuracy epoch2,method,run
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,140.3552978515625,47.48756103515625,187.554052734375,235.1039794921875,61.328828828828826,85.72822822822823,90.54054054054055,63.53127474267617,69.56452889944576,72.35154394299288,deeplift,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,140.2473542349239,47.48566579914099,187.57630803657605,235.10399200149408,61.328828828828826,85.72822822822823,90.54054054054055,63.53127474267617,69.56452889944576,72.35154394299288,integrated_gradients,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,46.81512451171875,350.067431640625,72.94874267578125,225.7420654296875,60.461711711711715,83.48348348348348,89.1891891891892,59.358669833729216,64.71892319873318,67.73555027711798,deeplift,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,46.36841892344081,350.0016569336277,72.88503881532964,225.7420734872456,60.461711711711715,83.48348348348348,89.1891891891892,59.358669833729216,64.71892319873318,67.73555027711798,integrated_gradients,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,238.01650390625,79.80361328125,-44.30540466308594,212.6083984375,60.833333333333336,84.26426426426427,88.62987987987988,58.55898653998416,67.5217735550277,69.35866983372921,deeplift,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,238.14341954838352,79.70030632568105,-44.244131089786315,212.60838939250684,60.833333333333336,84.26426426426427,88.62987987987988,58.55898653998416,67.5217735550277,69.35866983372921,integrated_gradients,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,223.3708984375,60.506866455078125,208.94521484375,207.6699462890625,61.5015015015015,83.71621621621621,88.83633633633633,61.607284243863816,66.22327790973871,70.22961203483769,deeplift,3
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,223.34118132515877,60.28394512685581,208.90538792630937,207.6699279706525,61.5015015015015,83.71621621621621,88.83633633633633,61.607284243863816,66.22327790973871,70.22961203483769,integrated_gradients,3
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,192.0506103515625,40.58118896484375,197.5714111328125,216.2962646484375,58.47222222222222,82.1433933933934,88.28828828828829,53.333333333333336,66.02533650039588,68.1710213776722,deeplift,4
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,191.94066639703968,40.496427073939216,197.52958453929466,216.2962600296631,58.47222222222222,82.1433933933934,88.28828828828829,53.333333333333336,66.02533650039588,68.1710213776722,integrated_gradients,4
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,163.52130126953125,24.844879150390625,83.6143310546875,194.1326171875,61.63663663663664,84.56456456456456,89.56456456456456,64.33095803642122,68.35312747426762,67.07838479809976,deeplift,5
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,163.6517478481533,24.845800696845327,83.45534686890497,194.1326100753394,61.63663663663664,84.56456456456456,89.56456456456456,64.33095803642122,68.35312747426762,67.07838479809976,integrated_gradients,5
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,149.5614501953125,270.5765625,234.7518310546875,209.974267578125,58.89264264264264,82.00450450450451,87.84534534534535,60.007917656373714,64.34679334916865,62.517814726840854,deeplift,6
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,149.57691778561417,270.6447771518407,234.856871488973,209.97425900115564,58.89264264264264,82.00450450450451,87.84534534534535,60.007917656373714,64.34679334916865,62.517814726840854,integrated_gradients,6
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,-16.225189208984375,388.31240234375,72.42644653320312,196.02490234375,63.79504504504504,86.37762762762763,91.23873873873873,64.41013460015836,65.7957244655582,71.61520190023752,deeplift,7
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,-16.085518751049666,388.1234814946099,72.3804032443783,196.0249064314133,63.79504504504504,86.37762762762763,91.23873873873873,64.41013460015836,65.7957244655582,71.61520190023752,integrated_gradients,7
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,222.284423828125,179.010986328125,114.44486083984376,215.0373779296875,62.252252252252255,84.61336336336336,89.43693693693693,57.569279493269995,68.71733966745843,73.39667458432304,deeplift,8
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,222.38490211186235,179.06812682496786,114.42391360329027,215.0373891033254,62.252252252252255,84.61336336336336,89.43693693693693,57.569279493269995,68.71733966745843,73.39667458432304,integrated_gradients,8
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,69.29527587890625,19.207211303710938,315.753759765625,173.75025634765626,66.63288288288288,87.00450450450451,90.49924924924925,65.21773555027711,69.75455265241489,71.19556611243073,deeplift,9
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,69.22579878246987,19.229347268034733,315.73220122749956,173.7502430171298,66.63288288288288,87.00450450450451,90.49924924924925,65.21773555027711,69.75455265241489,71.19556611243073,integrated_gradients,9
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,321.4587646484375,319.982275390625,126.02135009765625,195.75733642578126,59.89114114114114,82.23723723723724,87.72522522522523,61.844813935075216,63.47585114806017,70.12668250197942,deeplift,10
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,321.52938879761024,319.72702747892055,126.03105548122278,195.75733773760402,59.89114114114114,82.23723723723724,87.72522522522523,61.844813935075216,63.47585114806017,70.12668250197942,integrated_gradients,10
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,289.2646728515625,33.8396240234375,165.46025390625,178.862158203125,63.3033033033033,85.36036036036036,89.54204204204204,64.1409342834521,69.58036421219319,69.8178939034046,deeplift,11
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,289.10089502973455,33.92914699692341,165.42469231373545,178.86214786445564,63.3033033033033,85.36036036036036,89.54204204204204,64.1409342834521,69.58036421219319,69.8178939034046,integrated_gradients,11
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,131.77149658203126,178.290478515625,147.8830078125,212.0190673828125,61.448948948948946,84.12537537537537,89.47447447447448,61.48851939825811,66.82501979414093,70.30878859857482,deeplift,12
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,131.71411918868318,178.3292202351985,147.7118493558987,212.01906807024488,61.448948948948946,84.12537537537537,89.47447447447448,61.48851939825811,66.82501979414093,70.30878859857482,integrated_gradients,12
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,49.92227783203125,458.49208984375,108.9159423828125,227.764990234375,59.512012012012015,82.90915915915916,87.83033033033033,59.56452889944576,68.67775138558987,71.58353127474268,deeplift,13
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,50.01975276531627,458.56228643192907,108.9439201695844,227.7649697068022,59.512012012012015,82.90915915915916,87.83033033033033,59.56452889944576,68.67775138558987,71.58353127474268,integrated_gradients,13
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,128.656689453125,126.8350341796875,-91.13623657226563,208.0564453125,62.9954954954955,84.00150150150151,89.66966966966967,58.55106888361045,67.36342042755345,69.80205859065717,deeplift,14
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,128.71209902834715,126.88894589316438,-91.31331845801287,208.0564602555386,62.9954954954955,84.00150150150151,89.66966966966967,58.55106888361045,67.36342042755345,69.80205859065717,integrated_gradients,14
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,141.62281494140626,55.42171630859375,237.5267578125,271.1662353515625,64.31306306306307,84.87237237237237,89.58708708708708,63.00079176563737,69.87331749802058,73.04038004750593,deeplift,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,141.66636201256907,55.402682112533604,237.60256753436278,271.1662383368539,64.31306306306307,84.87237237237237,89.58708708708708,63.00079176563737,69.87331749802058,73.04038004750593,integrated_gradients,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,63.65040283203125,403.4843505859375,92.5974365234375,260.524609375,63.813813813813816,84.48198198198199,88.78003003003003,59.08946951702296,66.69833729216153,67.91765637371338,deeplift,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,63.83362582066728,403.38530473997355,92.56132474855458,260.52454896827817,63.813813813813816,84.48198198198199,88.78003003003003,59.08946951702296,66.69833729216153,67.91765637371338,integrated_gradients,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,263.2037109375,76.061181640625,-18.713111877441406,256.042041015625,63.61861861861862,84.97747747747748,88.78003003003003,62.889944576405384,68.8202692003167,70.60965954077594,deeplift,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,263.2497411804899,76.28977402190434,-19.044580203443086,256.0420706340049,63.61861861861862,84.97747747747748,88.78003003003003,62.889944576405384,68.8202692003167,70.60965954077594,integrated_gradients,2
