initial_lr,optimizer,criterion,train_data_used,train_set_shuffle,train_batch_size,norm_branch1,norm_branch2,norm_branch3,norm_branch4,std_norm_branch1,std_norm_branch2,std_norm_branch3,std_norm_branch4,avg_std,train accuracy epoch0,test accuracy epoch0,branch1,branch2,branch3,totalFLOPS
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,8,0.27370486207453776,0.2537762168478078,0.27242720447042573,0.20009171660722871,0.21547743014164716,0.16934002894905117,0.13662195333088176,0.08787218310162567,0.15232789888080145,76.28603603603602,75.39773027183954,221,221,221,1852
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.28435789201919065,0.27078978382506264,0.3021100732558843,0.14274225089986237,0.12244003018956545,0.10495795119792288,0.09847160327471823,0.03410807985630763,0.08999441612962855,74.77552552552552,75.22723673792557,221,221,221,1852
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.27266180871392276,0.27979536954126943,0.3097219293435726,0.1378208924012352,0.10935997832442922,0.09725100749885923,0.08931682033799991,0.030582316210294353,0.08162753059289568,71.51251251251252,72.89575085774611,221,221,221,1852
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.27507539615155324,0.2685834401681941,0.3071997918366668,0.14914137184358592,0.11504362214893558,0.10270807088376824,0.08456902352060096,0.03300090230897194,0.08383040471556918,66.47347347347348,68.80548957508577,221,221,221,1852
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,8,0.22188070883144595,0.2802678721847744,0.25328054217370133,0.24457087681007836,0.11966068188473192,0.07436764190775659,0.08638258584654539,0.035778132308327645,0.0790472604868404,74.9109109109109,74.07389812615466,221,221,221,1852
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.24029349788264157,0.2704057550677709,0.27553476241567443,0.2137659846339131,0.12399603616543735,0.1239306059129592,0.07565107745131457,0.06042062896362489,0.095999587123334,75.8485985985986,75.22248614410135,221,221,221,1852
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.25569850496110397,0.27742801812571827,0.28380410954123547,0.18306936737194235,0.12299960563033957,0.0949429780505262,0.08969894626149391,0.03430499263349274,0.08548663064396311,75.19069069069069,75.37767220902613,221,221,221,1852
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.26158191639860345,0.2762068264923044,0.29921773386385253,0.16299352324523964,0.09121466010567135,0.08236506180448308,0.07171187203719329,0.03086212103850595,0.06903842874646342,72.6891891891892,73.88545790446028,221,221,221,1852
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,8,0.2237957522793268,0.28506346616261957,0.2749771885049744,0.2161635930530793,0.07706516471534682,0.07279709859293469,0.09119859812506163,0.03151805408374358,0.06814472887927168,72.84284284284284,71.80839271575613,221,221,221,1852
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.22116089941991715,0.2800788394854498,0.27943261964734833,0.21932764144728473,0.11905190001224705,0.08132498709763672,0.09652204830139842,0.06034556203233402,0.08931112436090406,74.57882882882883,74.07812087622064,221,221,221,1852
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.2520075037202091,0.2776946743350142,0.26857199409616384,0.20172582784861287,0.08469341753079547,0.0718029445635259,0.08119104506555681,0.033874632636220696,0.06789050994902472,74.94544544544546,74.7468989179203,221,221,221,1852
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.24590655229820926,0.2786920481816976,0.2845876596854572,0.19081373983463595,0.08925184320158253,0.08241332475387705,0.07119766494898812,0.031476673543439075,0.0685848766119717,73.46396396396396,74.04222750065979,221,221,221,1852
