initial_lr,optimizer,criterion,train_data_used,train_set_shuffle,train_batch_size,branch1.0,branch2.0,branch3.0,branch4.0,train accuracy epoch0,train accuracy epoch1,train accuracy epoch2,test accuracy epoch0,test accuracy epoch1,test accuracy epoch2,method,run
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,1.7535928726196288,17.519822692871095,39.38430480957031,33.400143432617185,32.70677204908746,42.31814024598332,44.85987687183477,36.140135218193,38.70620774431469,39.49370006146282,deeplift,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,1.7540127921975663,17.566998928062652,39.45696138751037,33.40014402485107,32.70677204908746,42.31814024598332,44.85987687183477,36.140135218193,38.70620774431469,39.49370006146282,integrated_gradients,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,15.19019775390625,16.922715759277345,13.947915649414062,31.36236267089844,31.99830732899245,41.6014851823034,44.3875670584381,34.05039950829748,36.12092808850645,37.81883835279656,deeplift,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,15.199048124465644,17.005765392755517,13.961088214258137,31.362361979693777,31.99830732899245,41.6014851823034,44.3875670584381,34.05039950829748,36.12092808850645,37.81883835279656,integrated_gradients,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,11.713508605957031,12.65630340576172,19.08345642089844,34.468597412109375,31.854976316256465,41.63970678569966,44.18553858334357,31.93761524277812,37.523048555623845,35.9980024585126,deeplift,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,11.706356193985863,12.628248368095944,19.122432378528,34.46860228615969,31.854976316256465,41.63970678569966,44.18553858334357,31.93761524277812,37.523048555623845,35.9980024585126,integrated_gradients,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,42.54066772460938,0.9130634307861328,-1.019843578338623,26.06676635742188,31.67342370012422,42.11747682815294,44.75203734796675,35.18362015980332,35.77519975414874,37.84956976029502,deeplift,3
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,42.66410766193792,0.8793619759647026,-0.997590824695884,26.066766131203376,31.67342370012422,42.11747682815294,44.75203734796675,35.18362015980332,35.77519975414874,37.84956976029502,integrated_gradients,3
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,5.873749542236328,8.067291259765625,41.18475341796875,30.46482543945313,31.09327436285952,41.766657111265815,44.38210682938149,34.21173939766441,33.60095267363245,37.14274738783036,deeplift,4
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,5.880198429722859,8.060521995332204,41.13847152619698,30.464825711807737,31.09327436285952,41.766657111265815,44.38210682938149,34.21173939766441,33.60095267363245,37.14274738783036,integrated_gradients,4
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,21.336593627929688,18.329026794433595,15.70227508544922,34.02213134765625,30.397095158141884,41.51821668919011,44.26744201919271,32.21035648432698,32.28334357713583,38.69852489244008,deeplift,5
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,21.310055879844885,18.44858158748063,15.72479318910817,34.02213470015635,30.397095158141884,41.51821668919011,44.26744201919271,32.21035648432698,32.28334357713583,38.69852489244008,integrated_gradients,5
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,5.230461883544922,51.86046142578125,-0.3025449514389038,28.034521484375,30.525410540972192,41.43085302428437,44.03265216975852,35.34880147510756,34.188690842040565,37.08128457283343,deeplift,6
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,5.225876819850641,51.79838527144661,-0.3460987745561519,28.03452150846564,30.525410540972192,41.43085302428437,44.03265216975852,35.34880147510756,34.188690842040565,37.08128457283343,integrated_gradients,6
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,4.590552520751953,37.48719482421875,12.11705322265625,31.43116455078125,29.78145433200923,41.542787719944855,44.49131141051368,33.08236017209588,37.292562999385375,37.592194222495394,deeplift,7
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,4.709282532623189,37.50112463352266,12.125799870158934,31.43116590918156,29.78145433200923,41.542787719944855,44.49131141051368,33.08236017209588,37.292562999385375,37.592194222495394,integrated_gradients,7
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,25.02067260742188,12.702043151855468,-45.684912109375,25.265115356445317,31.842690800879097,42.40550391088906,44.23058547306059,36.989090350338046,35.42947141979103,37.7881069452981,deeplift,8
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,24.98568190379556,12.726235054408646,-45.536218363772605,25.265117174184777,31.842690800879097,42.40550391088906,44.23058547306059,36.989090350338046,35.42947141979103,37.7881069452981,integrated_gradients,8
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,11.822293090820311,22.691531372070312,-3.7564674377441407,33.44036865234375,32.62486861323833,41.97687592994526,44.52134267032502,34.51137062077443,37.227258758451136,39.605101413644746,deeplift,9
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,11.777584497142776,22.63932878242756,-3.7747336795218502,33.440369748964976,32.62486861323833,41.97687592994526,44.52134267032502,34.51137062077443,37.227258758451136,39.605101413644746,integrated_gradients,9
