initial_lr,optimizer,criterion,train_data_used,train_set_shuffle,train_batch_size,branch1.0,branch2.0,branch3.0,branch4.0,train accuracy epoch0,train accuracy epoch1,train accuracy epoch2,test accuracy epoch0,test accuracy epoch1,test accuracy epoch2,method,run
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,75.85112915039062,55.30797119140625,61.664501953125,26.707000732421875,67.35329047053524,79.03408547988587,80.62847236441569,76.15626920712968,74.02811923786109,77.96942224953902,deeplift,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,75.86904105071896,55.28983474674387,61.640214557211365,26.707001117140276,67.35329047053524,79.03408547988587,80.62847236441569,76.15626920712968,74.02811923786109,77.96942224953902,integrated_gradients,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,116.02672119140624,20.17755126953125,90.96148681640624,10.38205795288086,67.09529464761047,79.5964890727166,81.00795828385,76.3560233558697,75.83358942839583,77.29717271051014,deeplift,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,116.04861711339636,20.18830250808944,90.96407520620068,10.38205785031419,67.09529464761047,79.5964890727166,81.00795828385,76.3560233558697,75.83358942839583,77.29717271051014,integrated_gradients,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,-5.139114761352539,109.90941162109377,0.0445151329040527,24.087477111816405,65.3452912349673,78.99449881922547,80.78135877800074,74.39305470190534,75.75291948371235,74.48524892440074,deeplift,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,-5.123336031676245,109.92738883894648,0.0988091810652207,24.08748169034568,65.3452912349673,78.99449881922547,80.78135877800074,74.39305470190534,75.75291948371235,74.48524892440074,integrated_gradients,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,82.88619384765624,72.2892578125,21.30254364013672,26.636563110351563,63.27449936524837,78.97538801752734,80.16981312366053,75.0921942224954,76.13706207744315,76.92839582052858,deeplift,3
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,82.86193469882397,72.2382423558742,21.35775838156984,26.6365634972314,63.27449936524837,78.97538801752734,80.16981312366053,75.0921942224954,76.13706207744315,76.92839582052858,integrated_gradients,3
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,74.00076293945312,46.69970703125,52.423736572265625,12.889276123046876,65.87083828166591,79.09278294224443,80.89192841639706,74.82713583282114,77.19729563614014,74.08958205285802,deeplift,4
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,74.00267867783538,46.67899076390718,52.44039600681221,12.889280469588618,65.87083828166591,79.09278294224443,80.89192841639706,74.82713583282114,77.19729563614014,74.08958205285802,integrated_gradients,4
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,50.305169677734376,11.597978210449218,9.599594879150391,19.275662231445317,67.80239431044133,79.64017090516947,80.6107266199817,74.87707437000614,75.98724646588813,77.9041180086048,deeplift,5
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,50.34078112190392,11.628786438453192,9.706515537606672,19.275660066300272,67.80239431044133,79.64017090516947,80.6107266199817,74.87707437000614,75.98724646588813,77.9041180086048,integrated_gradients,5
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,44.135195922851565,3.262948989868164,164.9207763671875,20.87008056640625,65.05453403770288,79.17195626356526,80.72266131564218,75.5339582052858,74.78103872157345,77.18961278426552,deeplift,6
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,44.148040530966895,3.2846820682031845,164.9143717796557,20.87007658268206,65.05453403770288,79.17195626356526,80.72266131564218,75.5339582052858,74.78103872157345,77.18961278426552,integrated_gradients,6
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,160.5034423828125,60.70056762695312,-3.2005619049072265,19.645767211914062,65.88721896883574,79.30300176092388,80.76907326262337,74.98847572218807,76.7440073755378,75.54548248309773,deeplift,7
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,160.51211043176409,60.690815391987165,-3.204210082986102,19.64577147213397,65.88721896883574,79.30300176092388,80.76907326262337,74.98847572218807,76.7440073755378,75.54548248309773,integrated_gradients,7
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,43.870184326171874,42.96558837890625,109.8851806640625,25.04117126464844,65.06681955308025,79.20608269516906,80.65031328064212,75.05377996312231,74.66963736939152,76.96296865396435,deeplift,8
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,43.84154939239572,43.01387413003033,109.9039538787843,25.04117499166088,65.06681955308025,79.20608269516906,80.65031328064212,75.05377996312231,74.66963736939152,76.96296865396435,integrated_gradients,8
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,92.24169921875,87.74820556640626,-28.554519653320312,23.93095550537109,64.82656947458946,78.57815635365904,80.55202915762317,75.29578979717272,76.17547633681623,76.32145052243392,deeplift,9
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,92.27606810127465,87.76883746780602,-28.53705633801825,23.93095966759691,64.82656947458946,78.57815635365904,80.55202915762317,75.29578979717272,76.17547633681623,76.32145052243392,integrated_gradients,9
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,36.66668701171875,-22.81987609863281,136.5959716796875,17.550015258789063,65.06954966760856,78.8047558595083,80.46466549271742,73.95897357098956,77.31637984019667,76.59419176398279,deeplift,10
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,36.74194593467415,-22.787409506497283,136.61931219923554,17.550015892754796,65.06954966760856,78.8047558595083,80.46466549271742,73.95897357098956,77.31637984019667,76.59419176398279,integrated_gradients,10
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,112.22344970703124,44.05445861816406,-0.3960672378540039,21.254083251953126,65.06681955308025,79.02999030809343,80.82231049592531,74.2701290719115,75.36109403810694,77.30869698832207,deeplift,11
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,112.14754595045449,44.0824123812634,-0.4470034084549207,21.254084196417985,65.06681955308025,79.02999030809343,80.82231049592531,74.2701290719115,75.36109403810694,77.30869698832207,integrated_gradients,11
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,89.3019775390625,9.09014892578125,1.902146339416504,18.15654296875,64.6368265148723,78.87710389450838,80.49060158073631,75.87968653964352,76.23309772587585,76.30224339274739,deeplift,12
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,89.26436282604747,9.068841701230976,1.878024015797001,18.156544901965116,64.6368265148723,78.87710389450838,80.49060158073631,75.87968653964352,76.23309772587585,76.30224339274739,integrated_gradients,12
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,58.634124755859375,82.90426025390624,82.8190673828125,20.79142456054688,65.80395047572246,79.08732271318782,80.68034454045348,75.39950829748003,77.13583282114321,78.5341118623233,deeplift,13
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,58.66209010304899,82.907580910734,82.76166413090756,20.791426868915497,65.80395047572246,79.08732271318782,80.68034454045348,75.39950829748003,77.13583282114321,78.5341118623233,integrated_gradients,13
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,-17.374559020996095,13.586009216308591,123.58822021484374,29.3107421875,65.60192200062792,78.99995904828208,80.63120247894399,73.62476951444376,75.37261831591887,72.93715427166565,deeplift,14
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,-17.342027687397334,13.572815207504169,123.58924470730852,29.31073694632368,65.60192200062792,78.99995904828208,80.63120247894399,73.62476951444376,75.37261831591887,72.93715427166565,integrated_gradients,14
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,67.7794921875,29.112698364257813,51.08912963867188,19.83137664794922,68.60641303902699,78.10038631120575,79.59375895818829,75.69913952059004,73.37891825445605,76.62108174554395,deeplift,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,67.74369216673014,29.17692891270657,51.120924976659865,19.83137574114035,68.60641303902699,78.10038631120575,79.59375895818829,75.69913952059004,73.37891825445605,76.62108174554395,integrated_gradients,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,111.8755859375,11.311692810058592,81.32802734375,9.719168853759763,68.39892433487584,78.3051449008286,79.88178604092441,73.87830362630608,73.07928703134604,76.94376152427782,deeplift,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,111.95503790370532,11.30843548888702,81.32886421780354,9.719169789385669,68.39892433487584,78.3051449008286,79.88178604092441,73.87830362630608,73.07928703134604,76.94376152427782,integrated_gradients,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,-6.116900634765625,95.37669677734377,-42.09402770996094,29.231085205078124,66.78542664864791,78.36520742045128,79.79305731875452,73.17148125384142,73.57098955132145,76.73632452366319,deeplift,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,-6.090828632830126,95.43934064607387,-42.08702202057655,29.2310843557429,66.78542664864791,78.36520742045128,79.79305731875452,73.17148125384142,73.57098955132145,76.73632452366319,integrated_gradients,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,82.1650634765625,8.808983612060548,-7.082424926757812,33.48161315917969,65.99369343543961,77.86969163356403,79.46271346082968,75.54548248309773,76.44437615242778,76.68638598647819,deeplift,3
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,82.1817217505889,8.82918148119129,-7.023163669377939,33.48161247798356,65.99369343543961,77.86969163356403,79.46271346082968,75.54548248309773,76.44437615242778,76.68638598647819,integrated_gradients,3
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,55.9336669921875,39.925628662109375,40.17629699707031,18.15936584472656,67.75052213440354,78.47168188705515,80.16844806639638,73.65550092194222,73.90519360786725,74.14336201598033,deeplift,4
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,55.95915373023424,39.93516201052379,40.25341584927674,18.15936553448085,67.75052213440354,78.47168188705515,80.16844806639638,73.65550092194222,73.90519360786725,74.14336201598033,integrated_gradients,4
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,59.24396362304688,-27.340338134765624,24.383297729492188,27.61244506835937,68.86440886195176,78.7078367937535,79.8394692657357,75.51859250153657,72.37246465888137,76.93992009834051,deeplift,5
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,59.22493383160166,-27.33360285822631,24.28704004890886,27.61244304913499,68.86440886195176,78.7078367937535,79.8394692657357,75.51859250153657,72.37246465888137,76.93992009834051,integrated_gradients,5
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,28.251678466796875,-24.11290283203125,164.2822509765625,22.480010986328125,66.60660414704397,78.29968467177198,79.91864258705652,71.73862937922557,77.20497848801475,75.45328826060233,deeplift,6
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,28.247058974311894,-24.10646481798497,164.2763811330234,22.480013277775846,66.60660414704397,78.29968467177198,79.91864258705652,71.73862937922557,77.20497848801475,75.45328826060233,integrated_gradients,6
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,119.51043701171876,55.4929931640625,-12.753334045410156,25.30185852050781,67.38195667308244,78.46758671526271,79.96368947677355,74.26628764597419,74.62354025814382,73.5978795328826,deeplift,7
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,119.52043534894274,55.45996770701912,-12.78363671433736,25.30186259720491,67.38195667308244,78.46758671526271,79.96368947677355,74.26628764597419,74.62354025814382,73.5978795328826,integrated_gradients,7
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,24.01381072998047,41.913754272460935,96.29080200195312,24.02866516113281,66.92329743232729,78.22051135045115,79.82581869309418,71.63106945298095,73.12538414259373,76.52888752304855,deeplift,8
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,24.02253924503288,41.91970240030276,96.21823333027186,24.02866847469338,66.92329743232729,78.22051135045115,79.82581869309418,71.63106945298095,73.12538414259373,76.52888752304855,integrated_gradients,8
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,63.24933471679688,86.07266235351562,-48.71741333007813,30.04254150390625,66.33222763694937,77.97070587111129,79.7562007726224,73.19452980946528,72.57606023355869,75.97956361401353,deeplift,9
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,63.26306630924138,86.06027255582521,-48.71070135431689,30.042537075661222,66.33222763694937,77.97070587111129,79.7562007726224,73.19452980946528,72.57606023355869,75.97956361401353,integrated_gradients,9
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,45.37684326171875,22.905747985839845,135.30474853515625,22.823675537109374,66.93421789044051,77.96388058479053,79.51731575139577,71.73094652735095,76.62492317148126,75.64535955746773,deeplift,10
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,45.30799098160424,22.8243094575798,135.36552083116777,22.823673766792165,66.93421789044051,77.96388058479053,79.51731575139577,71.73094652735095,76.62492317148126,75.64535955746773,integrated_gradients,10
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,174.90699462890626,39.66219787597656,16.01244201660156,21.15944519042969,66.64892092223269,77.99937207365849,79.9595943049811,73.42117393976645,73.8859864781807,75.21127842655194,deeplift,11
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,174.99155110372436,39.6094690621382,16.036865223645183,21.15944455974521,66.64892092223269,77.99937207365849,79.9595943049811,73.42117393976645,73.8859864781807,75.21127842655194,integrated_gradients,11
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,83.9106201171875,-6.209846115112304,-5.224650573730469,23.606355285644533,66.78133147685546,77.89016749252632,79.67020216498082,74.47756607252612,75.80285802089736,77.3740012292563,deeplift,12
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,83.93720237228447,-6.131644074832451,-5.2480085864095045,23.606356034031915,66.78133147685546,77.89016749252632,79.67020216498082,74.47756607252612,75.80285802089736,77.3740012292563,integrated_gradients,12
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,30.9374267578125,63.64052734375,71.43671264648438,19.564398193359374,67.74642696261108,78.06352976507364,79.90635707167915,74.78488014751076,77.15503995082975,76.44053472649047,deeplift,13
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,30.966293068629632,63.68488611871277,71.48214200139942,19.56439914934494,67.74642696261108,78.06352976507364,79.90635707167915,74.78488014751076,77.15503995082975,76.44053472649047,integrated_gradients,13
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,-61.79947509765625,-17.81147003173828,89.9053466796875,18.514146423339845,67.548493659309,77.98299138648866,79.30573187545218,73.37507682851874,75.47249539028887,75.11524277811924,deeplift,14
