initial_lr,optimizer,criterion,train_data_used,train_set_shuffle,train_batch_size,norm_branch1.0,norm_branch2.0,norm_branch3.0,norm_var_norm_branch1.0,norm_var_norm_branch2.0,norm_var_norm_branch3.0,avg_normalized_variance,train accuracy epoch0,test accuracy epoch0,branch1.0FLOPS,branch2.0FLOPS,branch3.0FLOPS,totalFLOPS
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,0.34596884220395846,0.31716559476231415,0.3368655630337274,0.0033543516147241737,0.00413422495777696,0.005358250376056787,0.004282275649519307,85.57755555555556,88.00933333333334,0.113,0.113,0.113,9.975
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,0.34542566893615,0.3177768235582833,0.3367975075055666,0.0017567915346093218,0.004570188163219256,0.005251718642441572,0.0038595661134233836,85.22733333333333,87.35733333333334,0.113,0.113,0.113,9.975
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.3429828843061805,0.3227269606834787,0.33429015501034076,0.0033817521436519463,0.005633509948741906,0.005586471528066093,0.004867244540153315,84.48344444444446,86.95599999999999,0.113,0.113,0.113,9.975
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.3505020687983729,0.31356839103684747,0.33592954016477955,0.004011496616195279,0.0045296983420559656,0.006659385848730742,0.005066860268993996,85.60877777777777,87.93933333333332,0.113,0.113,0.113,9.975
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.3464448651078234,0.32005801646058196,0.3334971184315946,0.0019991426216887493,0.004272188059483566,0.004916606945340569,0.0037293125421709616,85.18522222222222,87.55066666666667,0.113,0.113,0.113,9.975
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.34448942895247614,0.32299164646734074,0.33251892458018323,0.002541992927743742,0.004847469169668137,0.00490619264556922,0.0040985515809937,84.58622222222222,86.87066666666666,0.113,0.113,0.113,9.975
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,0.34699854688258314,0.30758065242604377,0.3454208006913731,0.019255131341269775,0.014406025657963974,0.018272277649736303,0.01731114488299002,86.03555555555555,88.44266666666667,0.113,0.113,0.113,9.975
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,0.344072839233708,0.31461784901062356,0.3413093117556684,0.007790667082846956,0.0056347184049235,0.008513664173011385,0.007313016553593947,85.61666666666666,88.09200000000001,0.113,0.113,0.113,9.975
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.3437484024601875,0.31628340197241084,0.3399681955674016,0.0038086315591101825,0.004044785483576165,0.005848962477224255,0.0045674598399702004,84.85555555555555,87.32,0.113,0.113,0.113,9.975
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.35451762970781525,0.3027506568532364,0.34273171343894837,0.023217616499090463,0.014547239038281569,0.022492976022484505,0.020085943853285514,86.06733333333334,88.24866666666667,0.113,0.113,0.113,9.975
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.3534870674258751,0.31167643782109083,0.33483649475303406,0.009280476918676726,0.0059075586458583185,0.01030064128483818,0.008496225616457742,85.61066666666667,88.096,0.113,0.113,0.113,9.975
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.34649351992747934,0.3193144008630267,0.3341920792094939,0.002771403016183014,0.0035589158865393174,0.005075897638240847,0.003802072180321059,84.99466666666667,87.47333333333333,0.113,0.113,0.113,9.975
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,0.3512688182203313,0.3015351738198465,0.34719600795982225,0.028461888153319365,0.021481846598271473,0.02659604329231132,0.025513259347967387,86.06311111111111,88.42466666666668,0.113,0.113,0.113,9.975
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,0.341476514111996,0.31008818504082464,0.3484353008471794,0.012359233437733376,0.009066817032847342,0.012360662872691617,0.011262237781090778,85.65322222222223,88.20533333333333,0.113,0.113,0.113,9.975
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.3419946149638281,0.3179160997686792,0.34008928526749277,0.005741869092917894,0.004638721076643026,0.007104289390847511,0.00582829318680281,84.90455555555556,87.27666666666667,0.113,0.113,0.113,9.975
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.35891594875783833,0.2982582267779475,0.3428258244642141,0.04134611309787942,0.02205874807974296,0.03212599940071353,0.031843620192778636,86.08377777777778,88.18533333333333,0.113,0.113,0.113,9.975
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.3500358337394687,0.30523801696184033,0.34472614929869094,0.01474215361549661,0.008619417986341828,0.014538960075175664,0.012633510559004699,85.71688888888889,88.09333333333333,0.113,0.113,0.113,9.975
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.34616817024585367,0.3168767011317474,0.3369551286223989,0.00438611647768516,0.004640528631905302,0.006140413563661136,0.0050556862244171994,85.05066666666667,87.472,0.113,0.113,0.113,9.975
