,initial_lr,optimizer,criterion,train_data_used,train_set_shuffle,train_batch_size,norm_branch1.0,norm_branch2.0,norm_branch3.0,norm_var_norm_branch1.0,norm_var_norm_branch2.0,norm_var_norm_branch3.0,avg_normalized_variance,train accuracy epoch0,test accuracy epoch0,branch1.0FLOPS,branch2.0FLOPS,branch3.0FLOPS,totalFLOPS,final_test_accuracy
0,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,0.3113868448997122,0.3782897160847325,0.3103234390155552,0.0207963499849207,0.0069044544851366,0.0127221909546988,0.013474331808252,81.37977777777778,84.08733333333333,0.012544,0.012544,0.012544,9.674,84.08733333333333
1,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,0.3102789210130921,0.3804566985176224,0.3092643804692853,0.0207985726236834,0.0066612796353277,0.0128297373279818,0.0134298631956643,80.97011111111111,84.35133333333333,0.012544,0.012544,0.012544,9.674,84.35133333333333
2,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.3087873956479249,0.383210548366222,0.3080020559858531,0.0193973052900548,0.0060234419383687,0.0132135626859069,0.0128781033047768,80.57322222222223,81.10799999999999,0.012544,0.012544,0.012544,9.674,81.10799999999999
3,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.3093551873822148,0.3805239680979765,0.3101208445198086,0.0213626105352362,0.0079419744784853,0.0120784298536966,0.0137943382891393,81.35577777777777,83.67933333333333,0.012544,0.012544,0.012544,9.674,83.67933333333333
4,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.309220092758073,0.3838471924985663,0.3069327147433606,0.0206691554229242,0.0060359233051806,0.0134629396279855,0.0133893394520301,81.0498888888889,83.47533333333334,0.012544,0.012544,0.012544,9.674,83.47533333333334
5,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.3070310454090693,0.3849307028500915,0.3080382517408392,0.0196986090045342,0.0065993760952518,0.0129956868147803,0.0130978906381888,80.41888888888889,83.29733333333334,0.012544,0.012544,0.012544,9.674,83.29733333333334
6,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,0.3166012712909065,0.3703116559603022,0.3130870727487913,0.0219386084879784,0.0093697811704407,0.0139289758223073,0.0150791218269088,81.29355555555556,84.43066666666667,0.012544,0.012544,0.012544,9.674,84.43066666666667
7,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,0.3108031875966632,0.3742353850867873,0.3149614273165494,0.0187665095976464,0.0074751650397081,0.0117159690250366,0.0126525478874637,80.91555555555556,84.28733333333334,0.012544,0.012544,0.012544,9.674,84.28733333333334
8,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.3068956566279244,0.3796875196827276,0.313416823689348,0.0206187549342037,0.0073551186944271,0.0117757997434074,0.0132498911240127,80.345,81.91266666666667,0.012544,0.012544,0.012544,9.674,81.91266666666667
9,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.3171858565829832,0.3637521926459692,0.3190619507710476,0.0221641611866035,0.0104746901747671,0.0132429174927219,0.0152939229513642,81.36877777777778,83.90266666666666,0.012544,0.012544,0.012544,9.674,83.90266666666666
10,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.3120995146288746,0.3750668462391873,0.3128336391319382,0.02026777692175,0.0083277254269547,0.0135906060894109,0.0140620361460385,81.00877777777778,83.95466666666667,0.012544,0.012544,0.012544,9.674,83.95466666666667
11,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.3191753878239735,0.3749441094802848,0.3058805026957416,0.0202178644908765,0.0077979693562831,0.0134680875369969,0.0138279737947188,80.24600000000001,83.20466666666667,0.012544,0.012544,0.012544,9.674,83.20466666666667
12,0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,0.3156978228325037,0.3641922374897886,0.3201099396777077,0.0237425980075642,0.0093995488934805,0.0152600341515424,0.0161340603508624,81.13000000000001,84.35799999999999,0.012544,0.012544,0.012544,9.674,84.35799999999999
13,0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,0.317054768789404,0.369285890650979,0.313659340559617,0.0218211555810812,0.0082914446655389,0.0119711734114022,0.0140279245526741,80.73333333333333,84.346,0.012544,0.012544,0.012544,9.674,84.346
14,0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.3154905891788516,0.3755469870539863,0.308962423767162,0.0228805739487385,0.007946790280491,0.0127755064015651,0.0145342902102649,80.14544444444444,82.04333333333334,0.012544,0.012544,0.012544,9.674,82.04333333333334
15,0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.319565757956118,0.3580442442881076,0.3223899977557742,0.0232666424715164,0.0113895382696301,0.0148873717899718,0.0165145175103728,81.21311111111112,83.982,0.012544,0.012544,0.012544,9.674,83.982
16,0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.3158456385760934,0.3669252807351318,0.3172290806887747,0.0204935632783228,0.0076255099427667,0.0126955938047253,0.0136048890086049,80.83566666666667,83.56,0.012544,0.012544,0.012544,9.674,83.56
