,initial_lr,optimizer,criterion,train_data_used,train_set_shuffle,train_batch_size,norm_conv1x1,norm_conv1x1_3x3,norm_conv1x1_5x5,norm_var_norm_conv1x1,norm_var_norm_conv1x1_3x3,norm_var_norm_conv1x1_5x5,avg_normalized_variance,train accuracy epoch0,train accuracy epoch1,train accuracy epoch2,test accuracy epoch0,test accuracy epoch1,test accuracy epoch2,conv1x1FLOPS,conv1x1_3x3FLOPS,conv1x1_5x5FLOPS,totalFLOPS,final_test_accuracy
0,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,0.0199729401370178,0.0643970481569498,0.9156300117060322,0.5003049417254745,0.7578370749910485,0.0523138740582736,0.4368186302582655,59.92392080847792,76.95692334293423,80.04741298897488,71.45615652530219,76.12861094038108,77.62523048555623,0.049152,1.204,3.301,17.927,77.62523048555623
1,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,0.0401598637287676,0.0556989546261321,0.9041411816451004,0.2235247620562936,0.6921303782486584,0.04397023658257,0.319875125629174,59.33448908181698,77.28417307106034,80.69809028488746,71.40980331899202,76.5460458922352,78.1781397254661,0.049152,1.204,3.301,17.927,78.1781397254661
2,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.0814331186507834,0.0572058083891656,0.8613610729600509,0.2704110289273559,0.5139906629923214,0.0426259319305648,0.2756758746167474,55.54845725778196,75.88025717678856,80.04987009205037,68.76459741856178,75.51705593116165,77.81474083179677,0.049152,1.204,3.301,17.927,77.81474083179677
3,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.0243073866671931,0.0625974207872024,0.9130951925456045,0.4184509990583892,0.7290104498738146,0.053763359904412,0.4004082696122052,60.69981935742205,77.03527762989658,80.19693226130836,71.51889981561156,75.80413849620979,77.7440585945503,0.049152,1.204,3.301,17.927,77.7440585945503
4,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.0479848652547264,0.0530587022605199,0.8989564324847535,0.3895824134669045,0.6274419199056483,0.0384118988319448,0.3518120774014992,59.752196604647565,77.22775070414204,80.59407292135906,71.33886498668306,76.17112272075396,78.14254251178038,0.049152,1.204,3.301,17.927,78.14254251178038
5,0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.0757134897235976,0.0571007925021893,0.8671857177742129,0.2736592264377752,0.6513621266363007,0.0467906769922657,0.3239373433554471,56.032324556015126,76.22379658826688,80.25244459005056,69.70651505838967,75.83154066789592,78.10796967834462,0.049152,1.204,3.301,17.927,78.10796967834462
6,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,0.0441014192401608,0.0827238645355904,0.8731747162242487,0.534663172910436,1.0704244594837429,0.104743884226086,0.5699438388734215,47.896856273120655,69.56641231099644,74.56070182144141,61.977822167588606,69.95415898381479,72.68105920917846,0.049152,1.204,3.301,17.927,72.68105920917846
7,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,0.0409220930367613,0.076703838512319,0.8823740684509196,0.3928714367058614,0.8029138508544311,0.0679353691001975,0.42124021888683,52.05682278371578,72.73498323254661,77.0462890918274,65.78237041589838,72.49282933825036,74.70677115345217,0.049152,1.204,3.301,17.927,74.70677115345217
8,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.0883258399092907,0.0938237408807059,0.8178504192100032,0.2851837412141146,0.6626187672609375,0.0788118378655856,0.3422047821135459,46.991823306987726,70.06602326967617,76.18120680162534,61.68638598647818,70.74626101208769,74.37896947346854,0.049152,1.204,3.301,17.927,74.37896947346854
9,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.0409893245806295,0.0867214021093914,0.8722892733099791,0.5159551035796245,1.378628799755038,0.1564876899917971,0.6836905311088199,49.6180114755814,70.3156467413808,74.68155489122769,63.0920917844704,69.12850850235607,72.23340503995084,0.049152,1.204,3.301,17.927,72.23340503995084
10,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.0432391206676364,0.0848831514819566,0.871877727850407,0.4378100747080559,0.8722178534855859,0.0968727736185595,0.4689669006040671,52.35340422530725,73.00499155939592,77.12509839787779,65.760090145462,72.46132964556442,74.92112272075396,0.049152,1.204,3.301,17.927,74.92112272075396
11,0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.0798574217476278,0.0910016107892178,0.8291409674631544,0.2700900372520787,0.6850192279928232,0.0783058859405828,0.3444717170618283,50.03417193351262,72.54232815066592,77.625528390916,64.4081643105921,72.74124154886294,75.469934439664,0.049152,1.204,3.301,17.927,75.469934439664
13,0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,0.0641612465690456,0.0867112427351246,0.8491275106958297,0.366800065514034,1.1654897966307176,0.1143069975614633,0.5488656199020717,41.78986308475641,67.23689658781186,73.36563968858493,58.12948166359353,68.1217988117189,71.52735095267364,0.049152,1.204,3.301,17.927,71.52735095267364
14,0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.0975814926714507,0.1242166352575809,0.7782018720709684,0.281293496342428,0.825877159505312,0.1418073928522538,0.4163260162333313,39.8726856591634,65.45076465957747,73.81073936051618,54.54466297889777,68.08748207334563,72.69872976849005,0.049152,1.204,3.301,17.927,72.69872976849005
16,0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.0627676194998654,0.1022675193922985,0.8349648611078361,0.3707557260838813,1.0181102316405106,0.1282876891425363,0.5057178822889761,46.16805674998066,69.00819489377578,74.23408912003859,60.624359762343786,69.5441507887728,71.93531038721572,0.049152,1.204,3.301,17.927,71.93531038721572
17,0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.1056899400184932,0.1132600251757575,0.7810500348057493,0.3877189732924048,0.7371260596289371,0.1297995329166139,0.4182148552793185,44.3103958211047,66.2643387890122,74.13644202374289,57.509475517312026,68.40529604589224,72.4042204466298,0.049152,1.204,3.301,17.927,72.4042204466298
