initial_lr,optimizer,criterion,train_data_used,train_set_shuffle,train_batch_size,norm_conv1x1,norm_conv1x1_3x3,norm_conv1x1_5x5,norm_var_norm_conv1x1,norm_var_norm_conv1x1_3x3,norm_var_norm_conv1x1_5x5,avg_normalized_variance,train accuracy epoch0,train accuracy epoch1,train accuracy epoch2,test accuracy epoch0,test accuracy epoch1,test accuracy epoch2,conv1x1FLOPS,conv1x1_3x3FLOPS,conv1x1_5x5FLOPS,totalFLOPS
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,0.019972940137017857,0.06439704815694987,0.9156300117060322,0.5003049417254745,0.7578370749910485,0.052313874058273625,0.4368186302582655,59.92392080847792,76.95692334293423,80.04741298897488,71.45615652530219,76.12861094038108,77.62523048555623,0.049152,1.204,3.301,17.927
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,0.04015986372876764,0.05569895462613212,0.9041411816451003,0.2235247620562936,0.6921303782486584,0.04397023658257005,0.31987512562917403,59.33448908181698,77.28417307106034,80.69809028488746,71.40980331899202,76.5460458922352,78.1781397254661,0.049152,1.204,3.301,17.927
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.08143311865078345,0.05720580838916569,0.8613610729600509,0.2704110289273559,0.5139906629923214,0.04262593193056489,0.2756758746167474,55.54845725778196,75.88025717678856,80.04987009205037,68.76459741856178,75.51705593116165,77.81474083179677,0.049152,1.204,3.301,17.927
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.02430738666719313,0.06259742078720248,0.9130951925456043,0.41845099905838923,0.7290104498738146,0.053763359904412056,0.40040826961220527,60.699819357422044,77.03527762989658,80.19693226130836,71.51889981561156,75.80413849620979,77.7440585945503,0.049152,1.204,3.301,17.927
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.04798486525472647,0.053058702260519994,0.8989564324847535,0.38958241346690453,0.6274419199056483,0.038411898831944805,0.3518120774014992,59.752196604647565,77.22775070414204,80.59407292135906,71.33886498668306,76.17112272075396,78.14254251178038,0.049152,1.204,3.301,17.927
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.07571348972359765,0.057100792502189336,0.8671857177742129,0.2736592264377752,0.6513621266363007,0.046790676992265724,0.32393734335544716,56.032324556015126,76.22379658826688,80.25244459005056,69.70651505838967,75.83154066789592,78.10796967834462,0.049152,1.204,3.301,17.927
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,16,0.044101419240160804,0.08272386453559041,0.8731747162242487,0.534663172910436,1.0704244594837427,0.10474388422608602,0.5699438388734215,47.896856273120655,69.56641231099644,74.56070182144141,61.977822167588606,69.95415898381479,72.68105920917846,0.049152,1.204,3.301,17.927
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,32,0.04092209303676133,0.07670383851231909,0.8823740684509196,0.39287143670586144,0.8029138508544311,0.06793536910019757,0.42124021888683005,52.05682278371578,72.73498323254661,77.0462890918274,65.78237041589838,72.49282933825036,74.70677115345217,0.049152,1.204,3.301,17.927
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,False,64,0.08832583990929077,0.09382374088070594,0.8178504192100032,0.2851837412141146,0.6626187672609375,0.07881183786558568,0.34220478211354594,46.991823306987726,70.06602326967617,76.18120680162534,61.68638598647818,70.74626101208769,74.37896947346854,0.049152,1.204,3.301,17.927
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.04098932458062958,0.08672140210939143,0.8722892733099791,0.5159551035796245,1.378628799755038,0.1564876899917971,0.6836905311088199,49.6180114755814,70.3156467413808,74.68155489122769,63.0920917844704,69.12850850235607,72.23340503995084,0.049152,1.204,3.301,17.927
