initial_lr,optimizer,criterion,train_data_used,train_set_shuffle,train_batch_size,conv1x1,conv1x1_3x3.0,conv1x1_3x3.1,conv1x1_5x5.0,conv1x1_5x5.1,train accuracy epoch0,train accuracy epoch1,train accuracy epoch2,test accuracy epoch0,test accuracy epoch1,test accuracy epoch2,method,run
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,18.032269,19.347406,19.347412,283.8246,283.82468,57.82246065222436,75.17370353686337,78.30104972903614,69.94852489244008,73.13306699446835,76.49431468961278,deeplift,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,21.429452225744175,19.553275609435634,19.553275909458335,307.61350301598065,307.61350324758246,57.82246065222436,75.28290811799555,78.46349154347025,69.94852489244008,73.99354640442532,76.16779348494161,integrated_gradients,0
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,38.252243,82.024704,82.02472,241.03065,241.0306,49.64440258268834,69.26846581214082,73.85369316242816,63.41425937307929,68.67701290719116,71.5081438229871,deeplift,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,52.379467443740694,87.76635872031822,87.76635855900567,260.9386346822689,260.93863403963087,49.64440258268834,69.29440190015971,73.76769455478657,63.41425937307929,69.08420405654579,71.52350952673632,integrated_gradients,1
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,35.47103,54.977097,54.97708,229.01793,229.0179,25.65352116521288,52.70349591165349,70.01651719289625,32.1719422249539,63.66011063306699,69.54133374308543,deeplift,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,44.640179556982474,62.979996767941955,62.97999854013697,255.8501719487793,255.8501686239553,25.65352116521288,52.875493126936675,70.90107430006688,32.1719422249539,64.1479717271051,71.69253226797787,integrated_gradients,2
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,57.367985,26.122824,26.122818,288.21494,288.21494,50.64908472910439,69.1319600857256,74.829709106297,62.21957590657652,69.84864781807006,73.4980024585126,deeplift,3
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,63.86721249283399,28.651741818477493,28.651741823838893,321.81980475976565,321.8198054363883,50.64908472910439,69.1319600857256,75.08906998648594,62.21957590657652,69.84864781807006,74.43146896127843,integrated_gradients,3
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,38.40951,77.9587,77.958725,257.4166,257.41666,46.585309253723196,69.6834432204431,75.42214395893907,61.54348494161032,71.66564228641671,74.19714197910264,deeplift,4
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,50.29754681927245,93.7018318278817,93.70183120107855,291.52727605938225,291.5272754998396,46.585309253723196,69.6834432204431,75.40030304271264,61.54348494161032,71.66564228641671,74.71957590657652,integrated_gradients,4
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,24.827719,12.134895,12.134896,282.0052,282.00516,49.49151616910329,71.59861856204869,75.95178617743014,65.65765212046712,71.51966810079902,73.19068838352797,deeplift,5
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,28.918196887685948,15.7817309518834,15.781730628398067,337.1193736675917,337.11937346669384,49.49151616910329,71.60271373384113,75.98181743724149,65.65765212046712,71.59265519360787,73.51720958819914,integrated_gradients,5
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,42.17861,14.691643,14.691645,338.5214,338.5213,52.330835278539936,72.87494710403101,77.31684344158238,65.90350338045482,72.39551321450523,73.39428395820529,deeplift,6
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,52.434702695370156,13.186067651702396,13.18606768536674,359.10026384913164,359.10026319999196,52.330835278539936,72.87358204676686,77.35643010224278,65.90350338045482,72.21880762138906,74.58896742470804,integrated_gradients,6
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,42.32783,15.892771,15.892775,258.7892,258.78918,42.847782464474385,63.1079623790218,70.2949888747833,56.1539643515673,62.473110018438845,68.57713583282114,deeplift,7
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,53.69707999976619,15.913693288231979,15.913693083848928,288.7033849242734,288.703386401221,42.847782464474385,63.1079623790218,70.3919079405381,56.1539643515673,62.473110018438845,68.75768285187462,integrated_gradients,7
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,39.605976,79.79165,79.79165,279.37747,279.37738,44.237410759381355,68.45352662544194,73.87280396412629,62.231100184388445,66.4720344191764,71.68100799016595,deeplift,8
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,41.39346683155675,90.79768867130346,90.79768834457253,292.62611527175966,292.62611272906133,44.237410759381355,68.50539880147973,74.16492621865487,62.231100184388445,67.08282114320836,72.11893054701905,integrated_gradients,8
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,36.789196,7.4656816,7.4656796,175.80565,175.80565,36.80876912786491,65.35757675034468,72.86129653138948,54.97464658881377,67.53995082974801,69.97925629993854,deeplift,9
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,47.558052437263925,7.839804321808131,7.839804556673486,203.7854246592393,203.78542220350803,36.80876912786491,65.33300571958993,72.88586756214423,54.97464658881377,67.60909649661954,70.58236017209589,integrated_gradients,9
