initial_lr,optimizer,criterion,train_data_used,train_set_shuffle,train_batch_size,norm_branch1,norm_branch2,norm_branch3,norm_branch4,std_norm_branch1,std_norm_branch2,std_norm_branch3,std_norm_branch4,avg_std,train accuracy epoch0,test accuracy epoch0,branch1,branch2,branch3,totalFLOPS
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,8,0.2657237060668253,0.1918151165683129,0.21581155687335682,0.3266496204915049,0.10062252557165573,0.06856574171632415,0.09525760362815298,0.04683796146105195,0.0778209580942962,94.41888888888889,96.88333333333334,56.448,56.448,56.448,365
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.30397909263995637,0.19798301874079352,0.24910955951084673,0.24892832910840337,0.11232697185523222,0.07852009370786742,0.11732833461205698,0.04113883745546373,0.08732855940765508,94.05433333333333,96.84133333333332,56.448,56.448,56.448,365
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.31490389381760636,0.21288554253821068,0.2681742552694351,0.20403630837474782,0.10690315407517877,0.0816448851841417,0.11248815591732851,0.032283327051665846,0.08332988055707871,93.305,96.804,56.448,56.448,56.448,365
0.0003,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.3151305393204665,0.2279624849353426,0.27644207810849664,0.1804648976356943,0.0990338582017129,0.07002134214775796,0.0959021825521564,0.027117937704366914,0.07301883015149856,92.14577777777778,96.14200000000001,56.448,56.448,56.448,365
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,8,0.1821684774289155,0.20138174260240743,0.17863820032756164,0.43781157964111544,0.06432648680452191,0.05523303813460633,0.060828298387730705,0.01799244000012104,0.049595065831745,94.60611111111112,96.71733333333333,56.448,56.448,56.448,365
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.2103508431475847,0.2028277902161433,0.18931735378427958,0.3975040128519924,0.06900673527759006,0.05594876905649076,0.06587325358511288,0.026253494198811386,0.05427056302950127,94.548,96.91666666666667,56.448,56.448,56.448,365
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.2599962892723272,0.2058697360041481,0.22160435161650965,0.31252962310701504,0.08756218881064266,0.06460373274690025,0.08699366829555107,0.03695313667681932,0.06902818163247833,94.21411111111111,97.08733333333333,56.448,56.448,56.448,365
0.0007,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.2978228423080155,0.21046188605128163,0.2555205038482271,0.23619476779247575,0.10380374585202655,0.07516361128240798,0.10978351995863364,0.0338146404558192,0.08064137938722184,93.47544444444445,96.94800000000001,56.448,56.448,56.448,365
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,8,0.16575415951550915,0.19885359823234525,0.17618618983689674,0.45920605241524887,0.06086043403759634,0.05458308320608533,0.058030181173850545,0.01606272601361985,0.04738410610778802,94.46377777777778,96.43599999999999,56.448,56.448,56.448,365
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,16,0.18946091819354993,0.20346387887336626,0.18528551470606114,0.4217896882270227,0.06251450613770815,0.05401144279760626,0.06471138853031239,0.02065309451541697,0.05047260799526094,94.54277777777777,96.76333333333334,56.448,56.448,56.448,365
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,32,0.2164112004810967,0.20619953889315262,0.1995761827142818,0.3778130779114689,0.0681266006372054,0.057259666497762526,0.06887640730337365,0.024133368911353356,0.05459901083742373,94.32622222222223,97.118,56.448,56.448,56.448,365
0.001,<class 'torch.optim.adam.Adam'>,CrossEntropyLoss(),1,True,64,0.2696772414462138,0.2077436555895263,0.23411796869690144,0.2884611342673585,0.09413890152576813,0.06847376770449667,0.09515381349524561,0.04223319714552211,0.07499991996775812,93.716,97.03,56.448,56.448,56.448,365
